reference,title,closed_at,cves,risks,summary,first_revision,affected_systems
CERTFR-2023-AVI-0011,Multiples vulnérabilités dans les produits Nextcloud,,CVE-2023-22473; CVE-2023-22472; CVE-2023-22470; CVE-2023-22471; CVE-2023-22469,Déni de service à distance; Injection de requêtes illégitimes par rebond (CSRF); Atteinte à l'intégrité des données; Contournement de la politique de sécurité; Atteinte à la confidentialité des données,"De multiples vulnérabilités ont été découvertes dans les produits
Nextcloud. Certaines d'entre elles permettent à un attaquant de
provoquer un déni de service à distance, un contournement de la
politique de sécurité et une atteinte à l'intégrité des données.",2023-01-09T01:00:00.000000,Nextcloud N/A – Nextcloud Server et Nextcloud Enterprise Server versions antérieures à 23.0.10 | Nextcloud N/A – Nextcloud Talk Android app versions antérieures à 15.0.2 | Nextcloud N/A – Nextcloud Server et Nextcloud Enterprise Server versions 24.0.x antérieures à 24.0.6 | Nextcloud N/A – Nextcloud app Deck versions antérieures à 1.8.2 | Nextcloud N/A – Nextcloud app Suspicious Login versions antérieures à 1.13.9 | Nextcloud N/A – Nextcloud Desktop versions antérieures à 3.6.2
CERTFR-2023-AVI-0012,Multiples vulnérabilités dans IBM Sterling,,CVE-2018-19361; CVE-2019-12384; CVE-2022-40664; CVE-2022-40615; CVE-2022-34335; CVE-2022-31692; CVE-2019-20330; CVE-2020-8840; CVE-2022-34305; CVE-2021-30129; CVE-2018-14720; CVE-2020-36518; CVE-2022-31690; CVE-2022-21541; CVE-2022-21540,Exécution de code arbitraire à distance; Élévation de privilèges; Déni de service à distance; Atteinte à la confidentialité des données; Atteinte à l'intégrité des données; Contournement de la politique de sécurité; Non spécifié par l'éditeur,"De multiples vulnérabilités ont été découvertes dans IBM Sterling.
Certaines d'entre elles permettent à un attaquant de provoquer un
problème de sécurité non spécifié par l'éditeur, une exécution de code
arbitraire à distance et un déni de service à distance.",2023-01-10T01:00:00.000000,IBM Sterling – IBM Sterling Partner Engagement Manager (éditions Essentials et Standard) versions 6.2.1.x antérieures à 6.2.1.2 | IBM Sterling – IBM Sterling B2B Integrator versions 6.1.0.x antérieures à 6.1.0.6 | IBM Sterling – IBM Sterling Partner Engagement Manager (éditions Essentials et Standard) versions 6.1.2.x antérieures à 6.1.2.7 | IBM Sterling – IBM Sterling B2B Integrator versions 6.0.x antérieures à 6.0.3.7 | IBM Sterling – IBM Sterling B2B Integrator versions 6.1.2.x antérieures à 6.1.2.1 | IBM Sterling – IBM Sterling Partner Engagement Manager (éditions Essentials et Standard) versions 6.2.0.x antérieures à 6.2.0.5 | IBM Sterling – IBM Sterling B2B Integrator versions 6.1.1.x antérieures à 6.1.1.3
CERTFR-2023-AVI-0013,Multiples vulnérabilités dans GitLab,,CVE-2022-4167; CVE-2022-3870; CVE-2023-0042; CVE-2022-4037; CVE-2022-4365; CVE-2022-3573; CVE-2022-3514; CVE-2022-3613; CVE-2022-4342; CVE-2022-4131,Déni de service à distance; Injection de code indirecte à distance (XSS); Contournement de la politique de sécurité; Atteinte à la confidentialité des données,"De multiples vulnérabilités ont été découvertes dans GitLab. Certaines
d'entre elles permettent à un attaquant de provoquer un déni de service
à distance, un contournement de la politique de sécurité et une atteinte
à la confidentialité des données.",2023-01-10T01:00:00.000000,GitLab N/A – GitLab Community Edition (CE) et Enterprise Edition (EE) versions 15.6.x antérieures à 15.6.4 | GitLab N/A – GitLab Community Edition (CE) et Enterprise Edition (EE) versions antérieures à 15.5.7 | GitLab N/A – GitLab Community Edition (CE) et Enterprise Edition (EE) versions 15.7.x antérieures à 15.7.2
CERTFR-2023-AVI-0014,Multiples vulnérabilités dans les produits Schneider Electric,,CVE-2022-38138; CVE-2022-2988; CVE-2023-22610; CVE-2023-22611; CVE-2022-1467; CVE-2022-45789; CVE-2022-45788,Déni de service à distance; Exécution de code arbitraire à distance; Atteinte à l'intégrité des données; Contournement de la politique de sécurité; Atteinte à la confidentialité des données; Élévation de privilèges,"De multiples vulnérabilités ont été découvertes dans les produits
Schneider Electric. Certaines d'entre elles permettent à un attaquant de
provoquer une exécution de code arbitraire à distance, un déni de
service à distance et un contournement de la politique de sécurité.",2023-01-10T01:00:00.000000,"Schneider Electric N/A – EcoStruxure Power SCADA Anywhere versions 2022, 2021, 2020 R2, 2020, 9.0 et 8.x | Schneider Electric N/A – EcoStruxure Geo SCADA Expert 2019, EcoStruxure Geo SCADA Expert 2020 et EcoStruxure Geo SCADA Expert 2021 (anciennement ClearSCADA) sans le correctif de sécurité d'octobre 2022 | Schneider Electric N/A – EcoStruxure Power SCADA Operation 2020 R2 versions 2020 R2 and 2020 R2 CU1, 2020 R2 CU2 et 2020 R2 CU3 sans la dernière version du microgiciel | Schneider Electric N/A – EcoStruxure Process Expert versions antérieures à V2021 | Schneider Electric N/A – SoMachine - HVAC V2.1.0 et antérieures (Schneider Electric recommande de migrer vers Ecostruxure Machine Expert – HVAC version V1.5.0) | Schneider Electric N/A – Ecostruxure Machine Expert – HVAC versions antérieures à V1.5.0 | Schneider Electric N/A – Power SCADA Operation 9.0 et PowerSCADA Expert 8.x | Schneider Electric N/A – EcoStruxure Power Operation 2021 versions 2021, 2021 CU1, 2021 CU2 et 2021 CU3 sans la dernière version du microgiciel | Schneider Electric N/A – EcoStruxure Power SCADA Operation 2020 versions 2020 and 2020 CU1 sans la dernière version du microgiciel"
CERTFR-2023-AVI-0015,Multiples vulnérabilités dans les produits Siemens,,CVE-2022-32213; CVE-2022-35256; CVE-2022-1292; CVE-2022-38773; CVE-2022-47935; CVE-2022-45093; CVE-2022-2068; CVE-2022-45092; CVE-2022-45094; CVE-2021-44002; CVE-2021-44014; CVE-2022-43513; CVE-2022-32222; CVE-2022-32212; CVE-2019-13940; CVE-2019-10923; CVE-2022-2274; CVE-2022-32215; CVE-2018-4843; CVE-2022-47967; CVE-2022-46823; CVE-2022-2097; CVE-2022-35255; CVE-2022-43514,Déni de service à distance; Injection de code indirecte à distance (XSS); Exécution de code arbitraire à distance; Atteinte à l'intégrité des données; Atteinte à la confidentialité des données,"De multiples vulnérabilités ont été découvertes dans les produits
Siemens. Certaines d'entre elles permettent à un attaquant de provoquer
une exécution de code arbitraire à distance, un déni de service à
distance et une atteinte à l'intégrité des données.",2023-01-10T01:00:00.000000,"Siemens N/A – Development/Evaluation Kits for PROFINET IO: EK-ERTEC 200P versions antérieures à V4.5.0 | Siemens N/A – Development/Evaluation Kits for PROFINET IO: DK Standard Ethernet Controller versions antérieures à V4.1.1 Patch 05 | Siemens N/A – SINEC INS versions antérieures à V1.0 SP2 Update 1 | Siemens N/A – SCALANCE X-200IRT switch family (incl. SIPLUS NET variants) versions antérieures à V5.4.2 | Siemens N/A – Solid Edge versions antérieures à V2023 MP1 | Siemens N/A – JT Open versions antérieures à V13.1.1.0 | Siemens N/A – Mendix SAML (Mendix 9 compatible, New Track) versions V3.3.x antérieures à V3.3.9 | Siemens N/A – Development/Evaluation Kits for PROFINET IO: EK-ERTEC 200 versions antérieures à V4.5.0 Patch 01 | Siemens N/A – Mendix SAML (Mendix 9 compatible, Upgrade Track) versions V3.3.x antérieures à V3.3.8 | Siemens N/A – Automation License Manager V5 | Siemens N/A – JT Open versions antérieures à V11.1.1.0 | Siemens N/A – Mendix SAML (Mendix 8 compatible) versions V2.3.x antérieures à V2.3.4 | Siemens N/A – Automation License Manager versions V6 antérieures à V6 SP9 Upd4 | Siemens N/A – De nombreux produits SIMATIC, SIMOTION, SINAMICS, SINUMERIK et SIPLUS (Se référer au bulletin de sécurité de l'éditeur pour les versions affectées)"
CERTFR-2023-AVI-0016,Multiples vulnérabilités dans Adobe Reader et Acrobat,,CVE-2023-21614; CVE-2023-21613; CVE-2023-21611; CVE-2023-21605; CVE-2023-21607; CVE-2023-21604; CVE-2023-21609; CVE-2023-21610; CVE-2023-21579; CVE-2023-21585; CVE-2023-21606; CVE-2023-21612; CVE-2023-21581; CVE-2023-21608; CVE-2023-21586,Exécution de code arbitraire à distance; Atteinte à l'intégrité des données; Déni de service; Atteinte à la confidentialité des données; Élévation de privilèges,"De multiples vulnérabilités ont été découvertes dans Adobe Reader et
Acrobat. Certaines d'entre elles permettent à un attaquant de provoquer
une exécution de code arbitraire à distance, un déni de service et une
atteinte à l'intégrité des données.",2023-01-11T01:00:00.000000,Adobe Acrobat – Acrobat Reader DC versions antérieures à 22.003.20310 pour Windows et macOS | Adobe Acrobat – Acrobat Reader 2020 versions antérieures à 20.005.30436 pour Windows et macOS | Adobe Acrobat – Acrobat 2020 versions antérieures à 20.005.30436 pour Windows et macOS | Adobe Acrobat – Acrobat DC versions antérieures à 22.003.20310 pour Windows et macOS
CERTFR-2023-AVI-0017,Multiples vulnérabilités dans Intel oneAPI Toolkit,,CVE-2022-41342; CVE-2022-38136; CVE-2022-40196,Élévation de privilèges,"De multiples vulnérabilités ont été découvertes dans Intel oneAPI
Toolkit. Elles permettent à un attaquant de provoquer une élévation de
privilèges.",2023-01-11T01:00:00.000000,Intel N/A – Intel C++ Compiler Classic versions antérieures à 2021.8 | Intel N/A – Intel oneAPI DPC++/C++ Compiler versions antérieures à 2022.2.1
CERTFR-2023-AVI-0018,Vulnérabilité dans Moxa TN-4900,,CVE-2008-1160,Élévation de privilèges,"Une vulnérabilité a été découverte dans Moxa TN4900. Elle permet à un
attaquant de provoquer une élévation de privilèges.",2023-01-11T01:00:00.000000,Moxa N/A – TN-4900 versions antérieures à v1.2
CERTFR-2023-AVI-0019,Multiples vulnérabilités dans les produits SAP,,CVE-2022-41203; CVE-2023-0015; CVE-2023-0022; CVE-2022-41272; CVE-2022-41271; CVE-2023-0014; CVE-2023-0023; CVE-2023-0012; CVE-2023-0018; CVE-2023-0017; CVE-2023-0016; CVE-2023-0013,Injection de code indirecte à distance (XSS); Exécution de code arbitraire à distance; Contournement de la politique de sécurité; Atteinte à la confidentialité des données; Élévation de privilèges,"De multiples vulnérabilités ont été découvertes dans les produits SAP.
Certaines d'entre elles permettent à un attaquant de provoquer une
exécution de code arbitraire à distance, un contournement de la
politique de sécurité et une atteinte à la confidentialité des données.",2023-01-11T01:00:00.000000,"SAP SAP BusinessObjects Business Intelligence – SAP BusinessObjects Business Intelligence Platform (Central management console) versions 420 et 430 | SAP N/A – SAP NetWeaver AS for Java version 7.50 | SAP N/A – SAP NetWeaver Process Integration version 7.50 | SAP N/A – SAP NetWeaver ABAP Server et ABAP Platform versions SAP_BASIS 700, 701, 702,710, 711, 730, 731, 740, 750, 751, 752, 753, 754, 755, 756, 757, KERNEL 7.22, 7.53, 7.77, 7.81, 7.85, 7.89, KRNL64UC 7.22, 7.22EXT, 7.53, KRNL64NUC 7.22 et 7.22EXT | SAP N/A – SAP NetWeaver AS pour ABAP et ABAP Platform versions 702, 731, 740, 750, 751, 752, 753, 754, 755, 756 et 757 | SAP SAP BusinessObjects Business Intelligence – SAP BusinessObjects Business Intelligence platform (Analysis edition pour OLAP) versions 420 et 430 | SAP N/A – SAP BPC MS 10.0 versions 800 et 810 | SAP N/A – SAP Bank Account Management (Manage Banks) versions 800 et 900 | SAP SAP BusinessObjects Business Intelligence – SAP BusinessObjects Business Intelligence Platform (Central Management Console et BI Launchpad) versions 4.2 et 4.3 | SAP N/A – SAP Host Agent (Windows) versions 7.21 et 7.22 | SAP SAP BusinessObjects Business Intelligence – SAP BusinessObjects Business Intelligence Platform version 420"
CERTFR-2023-AVI-0020,Multiples vulnérabilités dans Google Chrome,,CVE-2023-0129; CVE-2023-0130; CVE-2023-0132; CVE-2023-0135; CVE-2023-0131; CVE-2023-0140; CVE-2023-0137; CVE-2023-0134; CVE-2023-0133; CVE-2023-0139; CVE-2023-0128; CVE-2023-0136; CVE-2023-0141; CVE-2023-0138,Non spécifié par l'éditeur,"De multiples vulnérabilités ont été découvertes dans Google Chrome.
Elles permettent à un attaquant de provoquer un problème de sécurité non
spécifié par l'éditeur.",2023-01-11T01:00:00.000000,Google Chrome – Google Chrome versions antérieures à 109.0.5414.74 (pour Windows et Linux) | Google Chrome – Google Chrome versions antérieures à 109.0.5414.87 (pour macOS)
CERTFR-2023-AVI-0021,Multiples vulnérabilités dans Microsoft Office,,CVE-2023-21735; CVE-2023-21743; CVE-2023-21738; CVE-2023-21741; CVE-2023-21742; CVE-2023-21736; CVE-2023-21744; CVE-2023-21737; CVE-2023-21734,Exécution de code arbitraire à distance; Contournement de la fonctionnalité de sécurité; Atteinte à la confidentialité des données,"De multiples vulnérabilités ont été corrigées dans Microsoft Office. Elles permettent à un attaquant
de provoquer un contournement de la fonctionnalité de sécurité, une
exécution de code à distance et une atteinte à la confidentialité des
données.",2023-01-11T01:00:00.000000,Microsoft Office – Microsoft Office LTSC 2021 pour éditions 64 bits | Microsoft Office – Microsoft SharePoint Foundation 2013 Service Pack 1 | Microsoft Office – Microsoft Office LTSC 2021 pour éditions 32 bits | Microsoft Office – Microsoft Office 2019 pour éditions 32 bits | Microsoft Office – Microsoft Office 2019 pour Mac | Microsoft Office – Microsoft Office 2019 pour éditions 64 bits | Microsoft Office – Microsoft Office LTSC pour Mac 2021 | Microsoft Office – Microsoft SharePoint Server Subscription Edition | Microsoft Office – Microsoft SharePoint Enterprise Server 2016 | Microsoft Office – Microsoft SharePoint Server 2019 | Microsoft Office – Microsoft SharePoint Enterprise Server 2013 Service Pack 1
CERTFR-2023-AVI-0022,Multiples vulnérabilités dans Microsoft Windows,,CVE-2023-21527; CVE-2023-21525; CVE-2023-21760; CVE-2023-21556; CVE-2023-21724; CVE-2023-21766; CVE-2023-21532; CVE-2023-21563; CVE-2023-21726; CVE-2023-21755; CVE-2023-21678; CVE-2023-21753; CVE-2023-21754; CVE-2023-21550; CVE-2023-21747; CVE-2023-21536; CVE-2023-21730; CVE-2023-21541; CVE-2023-21546; CVE-2023-21535; CVE-2023-21732; CVE-2023-21772; CVE-2023-21774; CVE-2023-21750; CVE-2023-21547; CVE-2023-21746; CVE-2023-21540; CVE-2023-21771; CVE-2023-21767; CVE-2023-21681; CVE-2023-21560; CVE-2023-21776; CVE-2023-21758; CVE-2023-21561; CVE-2023-21759; CVE-2023-21524; CVE-2023-21749; CVE-2023-21548; CVE-2023-21683; CVE-2023-21552; CVE-2023-21677; CVE-2023-21674; CVE-2023-21543; CVE-2023-21675; CVE-2023-21558; CVE-2023-21539; CVE-2023-21768; CVE-2023-21537; CVE-2023-21725; CVE-2023-21680; CVE-2023-21679; CVE-2023-21773; CVE-2023-21752; CVE-2023-21748; CVE-2023-21682; CVE-2023-21739; CVE-2023-21555; CVE-2023-21757; CVE-2023-21542; CVE-2023-21733; CVE-2023-21765; CVE-2023-21728; CVE-2023-21559; CVE-2023-21551; CVE-2023-21549; CVE-2023-21557; CVE-2023-21676,Exécution de code arbitraire à distance; Déni de service; Contournement de la fonctionnalité de sécurité; Atteinte à la confidentialité des données; Élévation de privilèges,"De multiples vulnérabilités ont été corrigées dans Microsoft Windows. Elles permettent à un attaquant
de provoquer un déni de service, une élévation de privilèges, un
contournement de la fonctionnalité de sécurité, une atteinte à la
confidentialité des données et une exécution de code à distance.",2023-01-11T01:00:00.000000,Microsoft Windows – Windows Server 2022 | Microsoft Windows – Windows Server 2012 | Microsoft Windows – Windows 10 pour systèmes x64 | Microsoft Windows – Windows 10 Version 1809 pour systèmes x64 | Microsoft Windows – Windows Server 2019 (Server Core installation) | Microsoft Windows – Windows Server 2019 | Microsoft Windows – Windows Server 2012 R2 | Microsoft Windows – Windows Malicious Software Removal Tool 32 bits | Microsoft Windows – Windows Server 2022 (Server Core installation) | Microsoft Windows – Windows 10 Version 1607 pour systèmes 32 bits | Microsoft Windows – Windows 10 Version 21H2 pour systèmes ARM64 | Microsoft Windows – Windows Server 2008 pour systèmes x64 Service Pack 2 | Microsoft Windows – Windows 10 Version 1809 pour systèmes ARM64 | Microsoft Windows – Windows 10 Version 1809 pour systèmes 32 bits | Microsoft Windows – Windows 11 version 21H2 pour systèmes x64 | Microsoft Windows – Windows 10 Version 20H2 pour systèmes x64 | Microsoft Windows – Windows Server 2016 (Server Core installation) | Microsoft Windows – Windows 10 Version 22H2 pour systèmes x64 | Microsoft Windows – Windows RT 8.1 | Microsoft Windows – Windows 7 pour systèmes x64 Service Pack 1 | Microsoft Windows – Windows 11 version 21H2 pour systèmes ARM64 | Microsoft Windows – Windows Server 2008 pour systèmes x64 Service Pack 2 (Server Core installation) | Microsoft Windows – Windows 10 Version 20H2 pour systèmes 32 bits | Microsoft Windows – Windows Server 2008 pour systèmes 32 bits Service Pack 2 (Server Core installation) | Microsoft Windows – Windows 10 Version 1607 pour systèmes x64 | Microsoft Windows – Windows Server 2012 (Server Core installation) | Microsoft Windows – Windows 10 Version 21H2 pour systèmes 32 bits | Microsoft Windows – Windows 10 Version 21H2 pour systèmes x64 | Microsoft Windows – Windows Server 2008 pour systèmes 32 bits Service Pack 2 | Microsoft Windows – Windows Malicious Software Removal Tool 64 bits | Microsoft Windows – Windows Server 2008 R2 pour systèmes x64 Service Pack 1 | Microsoft Windows – Windows 10 Version 22H2 pour systèmes 32 bits | Microsoft Windows – Windows 11 Version 22H2 pour systèmes ARM64 | Microsoft Windows – Windows 8.1 pour systèmes x64 | Microsoft Windows – Windows Server 2016 | Microsoft Windows – Windows 10 Version 20H2 pour systèmes ARM64 | Microsoft Windows – Windows 8.1 pour systèmes 32 bits | Microsoft Windows – Windows Server 2008 R2 pour systèmes x64 Service Pack 1 (Server Core installation) | Microsoft Windows – Windows Server 2012 R2 (Server Core installation) | Microsoft Windows – Windows 10 pour systèmes 32 bits | Microsoft Windows – Windows 7 pour systèmes 32 bits Service Pack 1 | Microsoft Windows – Windows 10 Version 22H2 pour systèmes ARM64 | Microsoft Windows – Windows 11 Version 22H2 pour systèmes x64
CERTFR-2023-AVI-0023,Vulnérabilité dans Microsoft .Net,,CVE-2023-21538,Déni de service,"Une vulnérabilité a été corrigée dans Microsoft
.Net. Elle permet à un attaquant de provoquer un déni de service.",2023-01-11T01:00:00.000000,Microsoft N/A – .NET 6.0
CERTFR-2023-AVI-0024,Vulnérabilité dans Microsoft Azure,,CVE-2023-21531,Élévation de privilèges,"Une vulnérabilité a été corrigée dans Microsoft
Azure. Elle permet à un attaquant de provoquer une élévation de
privilèges.",2023-01-11T01:00:00.000000,Microsoft Azure – Azure Service Fabric 8.2 | Microsoft Azure – Azure Service Fabric 9.0 | Microsoft Azure – Azure Service Fabric 9.1
