CVE,CVSS Score,Base Severity,EPSS Score,CWE,CWE Description,Éditeur,Produit,Versions affectées,Description
CVE-2021-22893,,Non défini,0.9391,CWE-287,Improper Authentication - Generic (CWE-287),n/a,Pulse Connect Secure,"PCS 9.0R3 or above, PCS 9.1R1 and above",Pulse Connect Secure 9.0R3/9.1R1 and higher is vulnerable to an authentication bypass vulnerability exposed by the Windows File Share Browser and Pulse Secure Collaboration features of Pulse Connect Secure that can allow an unauthenticated user to perform remote arbitrary code execution on the Pulse Connect Secure gateway. This vulnerability has been exploited in the wild.
CVE-2021-22894,,Non défini,0.4966,CWE-94,Code Injection (CWE-94),n/a,Pulse Connect Secure,Fixed version 9.1R11.4,A buffer overflow vulnerability exists in Pulse Connect Secure before 9.1R11.4 allows a remote authenticated attacker to execute arbitrary code as the root user via maliciously crafted meeting room.
CVE-2021-22899,,Non défini,0.4495,CWE-77,Command Injection - Generic (CWE-77),n/a,Pulse Connect Secure,Fixed in 9.1R11.4,A command injection vulnerability exists in Pulse Connect Secure before 9.1R11.4 allows a remote authenticated attacker to perform remote code execution via Windows Resource Profiles Feature
CVE-2021-22900,,Non défini,0.0167,CWE-94,Code Injection (CWE-94),n/a,Pulse Secure Secure,Fixed in 9.1R11.4,A vulnerability allowed multiple unrestricted uploads in Pulse Connect Secure before 9.1R11.4 that could lead to an authenticated administrator to perform a file write via a maliciously crafted archive upload in the administrator web interface.
CVE-2021-27216,,Non défini,0.0008,Non disponible,,n/a,n/a,n/a,"Exim 4 before 4.94.2 has Execution with Unnecessary Privileges. By leveraging a delete_pid_file race condition, a local user can delete arbitrary files as root. This involves the -oP and -oPX options."
CVE-2020-28013,,Non défini,0.0009,Non disponible,,n/a,n/a,n/a,"Exim 4 before 4.94.2 allows Heap-based Buffer Overflow because it mishandles ""-F '.('"" on the command line, and thus may allow privilege escalation from any user to root. This occurs because of the interpretation of negative sizes in strncpy."
CVE-2020-28026,,Non défini,0.0125,Non disponible,,n/a,n/a,n/a,"Exim 4 before 4.94.2 has Improper Neutralization of Line Delimiters, relevant in non-default configurations that enable Delivery Status Notification (DSN). Certain uses of ORCPT= can place a newline into a spool header file, and indirectly allow unauthenticated remote attackers to execute arbitrary commands as root."
CVE-2020-28009,,Non défini,0.0012,Non disponible,,n/a,n/a,n/a,Exim 4 before 4.94.2 allows Integer Overflow to Buffer Overflow because get_stdinput allows unbounded reads that are accompanied by unbounded increases in a certain size variable. NOTE: exploitation may be impractical because of the execution time needed to overflow (multiple days).
CVE-2020-28023,,Non défini,0.0107,Non disponible,,n/a,n/a,n/a,Exim 4 before 4.94.2 allows Out-of-bounds Read. smtp_setup_msg may disclose sensitive information from process memory to an unauthenticated SMTP client.
CVE-2020-28011,,Non défini,0.0009,Non disponible,,n/a,n/a,n/a,Exim 4 before 4.94.2 allows Heap-based Buffer Overflow in queue_run via two sender options: -R and -S. This may cause privilege escalation from exim to root.
CVE-2020-28022,,Non défini,0.0093,Non disponible,,n/a,n/a,n/a,Exim 4 before 4.94.2 has Improper Restriction of Write Operations within the Bounds of a Memory Buffer. This occurs when processing name=value pairs within MAIL FROM and RCPT TO commands.
CVE-2020-28008,,Non défini,0.0008,Non disponible,,n/a,n/a,n/a,"Exim 4 before 4.94.2 allows Execution with Unnecessary Privileges. Because Exim operates as root in the spool directory (owned by a non-root user), an attacker can write to a /var/spool/exim4/input spool header file, in which a crafted recipient address can indirectly lead to command execution."
CVE-2020-28021,,Non défini,0.0211,Non disponible,,n/a,n/a,n/a,Exim 4 before 4.94.2 has Improper Neutralization of Line Delimiters. An authenticated remote SMTP client can insert newline characters into a spool file (which indirectly leads to remote code execution as root) via AUTH= in a MAIL FROM command.
CVE-2020-28024,,Non défini,0.0123,Non disponible,,n/a,n/a,n/a,"Exim 4 before 4.94.2 allows Buffer Underwrite that may result in unauthenticated remote attackers executing arbitrary commands, because smtp_ungetc was only intended to push back characters, but can actually push back non-character error codes such as EOF."
CVE-2020-28018,,Non défini,0.6279,Non disponible,,n/a,n/a,n/a,Exim 4 before 4.94.2 allows Use After Free in smtp_reset in certain situations that may be common for builds with OpenSSL.
CVE-2020-28010,,Non défini,0.0007,Non disponible,,n/a,n/a,n/a,"Exim 4 before 4.94.2 allows Out-of-bounds Write because the main function, while setuid root, copies the current working directory pathname into a buffer that is too small (on some common platforms)."
CVE-2020-28017,,Non défini,0.048,Non disponible,,n/a,n/a,n/a,Exim 4 before 4.94.2 allows Integer Overflow to Buffer Overflow in receive_add_recipient via an e-mail message with fifty million recipients. NOTE: remote exploitation may be difficult because of resource consumption.
CVE-2020-28012,,Non défini,0.001,Non disponible,,n/a,n/a,n/a,Exim 4 before 4.94.2 allows Exposure of File Descriptor to Unintended Control Sphere because rda_interpret uses a privileged pipe that lacks a close-on-exec flag.
CVE-2020-28007,,Non défini,0.0012,Non disponible,,n/a,n/a,n/a,"Exim 4 before 4.94.2 allows Execution with Unnecessary Privileges. Because Exim operates as root in the log directory (owned by a non-root user), a symlink or hard link attack allows overwriting critical root-owned files anywhere on the filesystem."
CVE-2020-28020,,Non défini,0.0412,Non disponible,,n/a,n/a,n/a,"Exim 4 before 4.92 allows Integer Overflow to Buffer Overflow, in which an unauthenticated remote attacker can execute arbitrary code by leveraging the mishandling of continuation lines during header-length restriction."
CVE-2020-28015,,Non défini,0.0007,Non disponible,,n/a,n/a,n/a,Exim 4 before 4.94.2 has Improper Neutralization of Line Delimiters. Local users can alter the behavior of root processes because a recipient address can have a newline character.
CVE-2020-28016,,Non défini,0.001,Non disponible,,n/a,n/a,n/a,"Exim 4 before 4.94.2 allows an off-by-two Out-of-bounds Write because ""-F ''"" is mishandled by parse_fix_phrase."
CVE-2020-28025,,Non défini,0.0073,Non disponible,,n/a,n/a,n/a,"Exim 4 before 4.94.2 allows Out-of-bounds Read because pdkim_finish_bodyhash does not validate the relationship between sig->bodyhash.len and b->bh.len; thus, a crafted DKIM-Signature header might lead to a leak of sensitive information from process memory."
CVE-2020-28014,,Non défini,0.0012,Non disponible,,n/a,n/a,n/a,"Exim 4 before 4.94.2 allows Execution with Unnecessary Privileges. The -oP option is available to the exim user, and allows a denial of service because root-owned files can be overwritten."
CVE-2020-28019,,Non défini,0.0082,Non disponible,,n/a,n/a,n/a,Exim 4 before 4.94.2 has Improper Initialization that can lead to recursion-based stack consumption or other consequences. This occurs because use of certain getc functions is mishandled when a client uses BDAT instead of DATA.
CVE-2021-31166,9.8,Critique,0.9304,Non disponible,Remote Code Execution,Microsoft,Windows 10 Version 2004,10.0.0,HTTP Protocol Stack Remote Code Execution Vulnerability
CVE-2021-28550,9.6,Critique,0.2295,CWE-416,Use After Free (CWE-416),Adobe,Acrobat Reader,"unspecified, unspecified, unspecified, unspecified","Acrobat Reader DC versions versions 2021.001.20150 (and earlier), 2020.001.30020 (and earlier) and 2017.011.30194 (and earlier) are affected by a Use After Free vulnerability. An unauthenticated attacker could leverage this vulnerability to achieve arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file."
CVE-2021-21985,,Non défini,0.9437,Non disponible,Remote code execution vulnerability,n/a,VMware vCenter Server and VMware Cloud Foundation,"VMware vCenter Server (7.x before 7.0 U2b, 6.7 before 6.7 U3n, 6.5 before 6.5 U3p) and VMware Cloud Foundation (4.x before 4.2.1, 3.x before 3.10.2.1)",The vSphere Client (HTML5) contains a remote code execution vulnerability due to lack of input validation in the Virtual SAN Health Check plug-in which is enabled by default in vCenter Server. A malicious actor with network access to port 443 may exploit this issue to execute commands with unrestricted privileges on the underlying operating system that hosts vCenter Server.
CVE-2021-31201,5.2,Moyenne,0.0017,Non disponible,Elevation of Privilege,Microsoft,Windows 10 Version 1809,10.0.0,Microsoft Enhanced Cryptographic Provider Elevation of Privilege Vulnerability
CVE-2021-31955,5.5,Moyenne,0.1464,Non disponible,Information Disclosure,Microsoft,Windows 10 Version 1809,10.0.0,Windows Kernel Information Disclosure Vulnerability
CVE-2021-33739,8.4,Élevée,0.129,Non disponible,Elevation of Privilege,Microsoft,Windows 10 Version 1909,10.0.0,Microsoft DWM Core Library Elevation of Privilege Vulnerability
CVE-2021-31199,5.2,Moyenne,0.0046,Non disponible,Elevation of Privilege,Microsoft,Windows 10 Version 1809,10.0.0,Microsoft Enhanced Cryptographic Provider Elevation of Privilege Vulnerability
CVE-2021-31956,7.8,Élevée,0.8555,Non disponible,Elevation of Privilege,Microsoft,Windows 10 Version 1809,10.0.0,Windows NTFS Elevation of Privilege Vulnerability
CVE-2021-33742,7.5,Élevée,0.5725,Non disponible,Remote Code Execution,Microsoft,Windows 10 Version 1809,10.0.0,Windows MSHTML Platform Remote Code Execution Vulnerability
CVE-2021-1675,7.8,Élevée,0.9435,Non disponible,Elevation of Privilege,Microsoft,Windows 10 Version 1809,10.0.0,Windows Print Spooler Remote Code Execution Vulnerability
CVE-2021-34481,8.8,Élevée,0.3038,Non disponible,Remote Code Execution,Microsoft,Windows 10 Version 1809,10.0.0,"<p>A remote code execution vulnerability exists when the Windows Print Spooler service improperly performs privileged file operations. An attacker who successfully exploited this vulnerability could run arbitrary code with SYSTEM privileges. An attacker could then install programs; view, change, or delete data; or create new accounts with full user rights.</p>
<p><strong>UPDATE</strong> August 10, 2021: Microsoft has completed the investigation and has released security updates to address this vulnerability. Please see the Security Updates table for the applicable update for your system. We recommend that you install these updates immediately. This security update changes the Point and Print default behavior; please see <a href=""https://support.microsoft.com/help/5005652"">KB5005652</a>.</p>
"
CVE-2021-36958,7.8,Élevée,0.0309,Non disponible,Remote Code Execution,Microsoft,Windows 10 Version 1809,10.0.0,"<p>A remote code execution vulnerability exists when the Windows Print Spooler service improperly performs privileged file operations. An attacker who successfully exploited this vulnerability could run arbitrary code with SYSTEM privileges. An attacker could then install programs; view, change, or delete data; or create new accounts with full user rights.</p>
"
CVE-2021-34527,8.8,Élevée,0.9426,Non disponible,Remote Code Execution,Microsoft,Windows 10 Version 1809,10.0.0,"<p>A remote code execution vulnerability exists when the Windows Print Spooler service improperly performs privileged file operations. An attacker who successfully exploited this vulnerability could run arbitrary code with SYSTEM privileges. An attacker could then install programs; view, change, or delete data; or create new accounts with full user rights.</p>
<p>UPDATE July 7, 2021: The security update for Windows Server 2012, Windows Server 2016 and Windows 10, Version 1607 have been released. Please see the Security Updates table for the applicable update for your system. We recommend that you install these updates immediately. If you are unable to install these updates, see the FAQ and Workaround sections in this CVE for information on how to help protect your system from this vulnerability.</p>
<p>In addition to installing the updates, in order to secure your system, you must confirm that the following registry settings are set to 0 (zero) or are not defined (<strong>Note</strong>: These registry keys do not exist by default, and therefore are already at the secure setting.), also that your Group Policy setting are correct (see FAQ):</p>
<ul>
<li>HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows NT\Printers\PointAndPrint</li>
<li>NoWarningNoElevationOnInstall = 0 (DWORD) or not defined (default setting)</li>
<li>UpdatePromptSettings = 0 (DWORD) or not defined (default setting)</li>
</ul>
<p><strong>Having NoWarningNoElevationOnInstall set to 1 makes your system vulnerable by design.</strong></p>
<p>UPDATE July 6, 2021: Microsoft has completed the investigation and has released security updates to address this vulnerability. Please see the Security Updates table for the applicable update for your system. We recommend that you install these updates immediately. If you are unable to install these updates, see the FAQ and Workaround sections in this CVE for information on how to help protect your system from this vulnerability. See also <a href=""https://support.microsoft.com/topic/31b91c02-05bc-4ada-a7ea-183b129578a7"">KB5005010: Restricting installation of new printer drivers after applying the July 6, 2021 updates</a>.</p>
<p>Note that the security updates released on and after July 6, 2021 contain protections for CVE-2021-1675 and the additional remote code execution exploit in the Windows Print Spooler service known as “PrintNightmare”, documented in CVE-2021-34527.</p>
"
CVE-2021-35211,9.0,Critique,0.9414,Non disponible,Memory Escape Vulnerability in Solarwinds Serv-U,SolarWinds,Serv-U Managed File Transfer Server and Serv-U Secured FTP,SolarWinds Serv-U,"Microsoft discovered a remote code execution (RCE) vulnerability in the SolarWinds Serv-U product utilizing a Remote Memory Escape Vulnerability. If exploited, a threat actor may be able to gain privileged access to the machine hosting Serv-U Only. SolarWinds Serv-U Managed File Transfer and Serv-U Secure FTP for Windows before 15.2.3 HF2 are affected by this vulnerability."
CVE-2021-31207,6.6,Moyenne,0.9397,Non disponible,Defense in Depth,Microsoft,Microsoft Exchange Server 2013 Cumulative Update 23,15.00.0,Microsoft Exchange Server Security Feature Bypass Vulnerability
CVE-2021-34473,9.1,Critique,0.943,Non disponible,Remote Code Execution,Microsoft,Microsoft Exchange Server 2013 Cumulative Update 23,15.00.0,Microsoft Exchange Server Remote Code Execution Vulnerability
CVE-2021-34523,9.0,Critique,0.9415,Non disponible,Elevation of Privilege,Microsoft,Microsoft Exchange Server 2013 Cumulative Update 23,15.00.0,Microsoft Exchange Server Elevation of Privilege Vulnerability
CVE-2021-26084,,Non défini,0.9447,Non disponible,Remote Code Execution,Atlassian,Confluence Server,"unspecified, 6.14.0, unspecified, 7.5.0, unspecified, 7.12.0, unspecified","In affected versions of Confluence Server and Data Center, an OGNL injection vulnerability exists that would allow an unauthenticated attacker to execute arbitrary code on a Confluence Server or Data Center instance. The affected versions are before version 6.13.23, from version 6.14.0 before 7.4.11, from version 7.5.0 before 7.11.6, and from version 7.12.0 before 7.12.5."
CVE-2021-40444,8.8,Élevée,0.9429,Non disponible,Remote Code Execution,Microsoft,Windows 10 Version 1809,10.0.0,"<p>Microsoft is investigating reports of a remote code execution vulnerability in MSHTML that affects Microsoft Windows. Microsoft is aware of targeted attacks that attempt to exploit this vulnerability by using specially-crafted Microsoft Office documents.</p>
<p>An attacker could craft a malicious ActiveX control to be used by a Microsoft Office document that hosts the browser rendering engine. The attacker would then have to convince the user to open the malicious document. Users whose accounts are configured to have fewer user rights on the system could be less impacted than users who operate with administrative user rights.</p>
<p>Microsoft Defender Antivirus and Microsoft Defender for Endpoint both provide detection and protections for the known vulnerability. Customers should keep antimalware products up to date. Customers who utilize automatic updates do not need to take additional action. Enterprise customers who manage updates should select the detection build 1.349.22.0 or newer and deploy it across their environments. Microsoft Defender for Endpoint alerts will be displayed as: “Suspicious Cpl File Execution”.</p>
<p>Upon completion of this investigation, Microsoft will take the appropriate action to help protect our customers. This may include providing a security update through our monthly release process or providing an out-of-cycle security update, depending on customer needs.</p>
<p>Please see the <strong>Mitigations</strong> and <strong>Workaround</strong> sections for important information about steps you can take to protect your system from this vulnerability.</p>
<p><strong>UPDATE</strong> September 14, 2021: Microsoft has released security updates to address this vulnerability. Please see the Security Updates table for the applicable update for your system. We recommend that you install these updates immediately. Please see the FAQ for important information about which updates are applicable to your system.</p>
"
CVE-2021-38648,7.8,Élevée,0.2408,Non disponible,Elevation of Privilege,Microsoft,Open Management Infrastructure,16.0,Open Management Infrastructure Elevation of Privilege Vulnerability
CVE-2021-38647,9.8,Critique,0.9434,Non disponible,Remote Code Execution,Microsoft,Open Management Infrastructure,16.0,Open Management Infrastructure Remote Code Execution Vulnerability
CVE-2021-38645,7.8,Élevée,0.3416,Non disponible,Elevation of Privilege,Microsoft,Open Management Infrastructure,16.0,Open Management Infrastructure Elevation of Privilege Vulnerability
CVE-2021-38649,7.0,Élevée,0.2373,Non disponible,Elevation of Privilege,Microsoft,Open Management Infrastructure,16.0,Open Management Infrastructure Elevation of Privilege Vulnerability
CVE-2021-42321,8.8,Élevée,0.9351,Non disponible,Remote Code Execution,Microsoft,Microsoft Exchange Server 2016 Cumulative Update 21,15.01.0,Microsoft Exchange Server Remote Code Execution Vulnerability
CVE-2021-4104,,Non défini,0.7295,CWE-502,CWE-502 Deserialization of Untrusted Data,Apache Software Foundation,Apache Log4j 1.x,Apache Log4j 1.2 1.2.x,"JMSAppender in Log4j 1.2 is vulnerable to deserialization of untrusted data when the attacker has write access to the Log4j configuration. The attacker can provide TopicBindingName and TopicConnectionFactoryBindingName configurations causing JMSAppender to perform JNDI requests that result in remote code execution in a similar fashion to CVE-2021-44228. Note this issue only affects Log4j 1.2 when specifically configured to use JMSAppender, which is not the default. Apache Log4j 1.2 reached end of life in August 2015. Users should upgrade to Log4j 2 as it addresses numerous other issues from the previous versions."
CVE-2021-44832,,Non défini,0.4712,CWE-20,CWE-20 Improper Input Validation,Apache Software Foundation,Apache Log4j2,log4j-core,"Apache Log4j2 versions 2.0-beta7 through 2.17.0 (excluding security fix releases 2.3.2 and 2.12.4) are vulnerable to a remote code execution (RCE) attack when a configuration uses a JDBC Appender with a JNDI LDAP data source URI when an attacker has control of the target LDAP server. This issue is fixed by limiting JNDI data source names to the java protocol in Log4j2 versions 2.17.1, 2.12.4, and 2.3.2."
CVE-2021-45105,,Non défini,0.6545,CWE-20,CWE-20 Improper Input Validation,Apache Software Foundation,Apache Log4j2,log4j-core,"Apache Log4j2 versions 2.0-alpha1 through 2.16.0 (excluding 2.12.3 and 2.3.1) did not protect from uncontrolled recursion from self-referential lookups. This allows an attacker with control over Thread Context Map data to cause a denial of service when a crafted string is interpreted. This issue was fixed in Log4j 2.17.0, 2.12.3, and 2.3.1."
CVE-2021-45046,,Non défini,0.9443,CWE-917,CWE-917 Improper Neutralization of Special Elements used in an Expression Language Statement ('Expression Language Injection'),Apache Software Foundation,Apache Log4j,Apache Log4j2,"It was found that the fix to address CVE-2021-44228 in Apache Log4j 2.15.0 was incomplete in certain non-default configurations. This could allows attackers with control over Thread Context Map (MDC) input data when the logging configuration uses a non-default Pattern Layout with either a Context Lookup (for example, $${ctx:loginId}) or a Thread Context Map pattern (%X, %mdc, or %MDC) to craft malicious input data using a JNDI Lookup pattern resulting in an information leak and remote code execution in some environments and local code execution in all environments. Log4j 2.16.0 (Java 8) and 2.12.2 (Java 7) fix this issue by removing support for message lookup patterns and disabling JNDI functionality by default."
CVE-2021-44228,,Non défini,0.9447,CWE-502,CWE-502 Deserialization of Untrusted Data,Apache Software Foundation,Apache Log4j2,2.0-beta9,"Apache Log4j2 2.0-beta9 through 2.15.0 (excluding security releases 2.12.2, 2.12.3, and 2.3.1) JNDI features used in configuration, log messages, and parameters do not protect against attacker controlled LDAP and other JNDI related endpoints. An attacker who can control log messages or log message parameters can execute arbitrary code loaded from LDAP servers when message lookup substitution is enabled. From log4j 2.15.0, this behavior has been disabled by default. From version 2.16.0 (along with 2.12.2, 2.12.3, and 2.3.1), this functionality has been completely removed. Note that this vulnerability is specific to log4j-core and does not affect log4net, log4cxx, or other Apache Logging Services projects."
CVE-2022-21907,9.8,Critique,0.9179,Non disponible,Remote Code Execution,Microsoft,Windows 10 Version 1809,10.0.17763.0,HTTP Protocol Stack Remote Code Execution Vulnerability
CVE-2022-22947,,Non défini,0.9447,CWE-94,CWE-94: Improper Control of Generation of Code ('Code Injection'),n/a,Spring Cloud Gateway,"Spring cloud gateway versions 3.1.x prior to 3.1.1+, 3.0.x prior to 3.0.7+ and all old and unsupported versions","In spring cloud gateway versions prior to 3.1.1+ and 3.0.7+ , applications are vulnerable to a code injection attack when the Gateway Actuator endpoint is enabled, exposed and unsecured. A remote attacker could make a maliciously crafted request that could allow arbitrary remote execution on the remote host."
CVE-2022-26809,9.8,Critique,0.8912,Non disponible,Remote Code Execution,Microsoft,Windows 10 Version 1809,10.0.17763.0,Remote Procedure Call Runtime Remote Code Execution Vulnerability
CVE-2022-1388,9.8,Critique,0.9446,CWE-306,CWE-306 Missing Authentication for Critical Function,F5,BIG-IP,"16.1.x, 15.1.x, 14.1.x, 13.1.x, 12.1.x, 11.6.x","On F5 BIG-IP 16.1.x versions prior to 16.1.2.2, 15.1.x versions prior to 15.1.5.1, 14.1.x versions prior to 14.1.4.6, 13.1.x versions prior to 13.1.5, and all 12.1.x and 11.6.x versions, undisclosed requests may bypass iControl REST authentication. Note: Software versions which have reached End of Technical Support (EoTS) are not evaluated"
CVE-2022-30190,7.8,Élevée,0.9339,Non disponible,Remote Code Execution,Microsoft,Windows 10 Version 1809,10.0.17763.0,"A remote code execution vulnerability exists when MSDT is called using the URL protocol from a calling application such as Word. An attacker who successfully exploits this vulnerability can run arbitrary code with the privileges of the calling application. The attacker can then install programs, view, change, or delete data, or create new accounts in the context allowed by the user’s rights.
Please see the MSRC Blog Entry for important information about steps you can take to protect your system from this vulnerability."
CVE-2022-26134,,Non défini,0.9446,Non disponible,Remote Code Execution,Atlassian,Confluence Data Center,"next of 1.3.0, unspecified, 7.13.0, unspecified, 7.14.0, unspecified, 7.15.0, unspecified, 7.16.0, unspecified, 7.17.0, unspecified, 7.18.0, unspecified","In affected versions of Confluence Server and Data Center, an OGNL injection vulnerability exists that would allow an unauthenticated attacker to execute arbitrary code on a Confluence Server or Data Center instance. The affected versions are from 1.3.0 before 7.4.17, from 7.13.0 before 7.13.7, from 7.14.0 before 7.14.3, from 7.15.0 before 7.15.2, from 7.16.0 before 7.16.4, from 7.17.0 before 7.17.4, and from 7.18.0 before 7.18.1."
CVE-2022-34718,9.8,Critique,0.8431,Non disponible,Remote Code Execution,Microsoft,Windows 10 Version 1809,10.0.17763.0,Windows TCP/IP Remote Code Execution Vulnerability
CVE-2022-34721,9.8,Critique,0.1775,Non disponible,Remote Code Execution,Microsoft,Windows 10 Version 1809,10.0.17763.0,Windows Internet Key Exchange (IKE) Protocol Extensions Remote Code Execution Vulnerability
CVE-2022-34722,9.8,Critique,0.0662,Non disponible,Remote Code Execution,Microsoft,Windows 10 Version 1809,10.0.17763.0,Windows Internet Key Exchange (IKE) Protocol Extensions Remote Code Execution Vulnerability
CVE-2022-41040,8.8,Élevée,0.943,Non disponible,Elevation of Privilege,Microsoft,Microsoft Exchange Server 2013 Cumulative Update 23,15.00.0,Microsoft Exchange Server Elevation of Privilege Vulnerability
CVE-2022-41082,8.0,Élevée,0.9289,Non disponible,Remote Code Execution,Microsoft,Microsoft Exchange Server 2013 Cumulative Update 23,15.00.0,Microsoft Exchange Server Remote Code Execution Vulnerability
CVE-2022-37393,,Non défini,0.0348,CWE-284,CWE-284 Improper Access Control,Synacor,Zimbra Server,"9.0.0.p27, 8.8.15.p34","Zimbra's sudo configuration permits the zimbra user to execute the zmslapd binary as root with arbitrary parameters. As part of its intended functionality, zmslapd can load a user-defined configuration file, which includes plugins in the form of .so files, which also execute as root."
CVE-2022-41352,,Non défini,0.7913,Non disponible,,n/a,n/a,n/a,"An issue was discovered in Zimbra Collaboration (ZCS) 8.8.15 and 9.0. An attacker can upload arbitrary files through amavis via a cpio loophole (extraction to /opt/zimbra/jetty/webapps/zimbra/public) that can lead to incorrect access to any other user accounts. Zimbra recommends pax over cpio. Also, pax is in the prerequisites of Zimbra on Ubuntu; however, pax is no longer part of a default Red Hat installation after RHEL 6 (or CentOS 6). Once pax is installed, amavis automatically prefers it over cpio."
