cve,description,cvss_score,cwe,cwe_description,epss_score,affected
CVE-2021-26854,Microsoft Exchange Server Remote Code Execution Vulnerability,6.6,Non disponible,Remote Code Execution,0.161350000,Microsoft | Microsoft Exchange Server 2016 Cumulative Update 19 | 15.01.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 8 | 15.02.0 || Microsoft | Microsoft Exchange Server 2013 Cumulative Update 23 | 15.00.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 7 | 15.02.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 18 | 15.01.0
CVE-2021-26893,Windows DNS Server Remote Code Execution Vulnerability,9.8,Non disponible,Remote Code Execution,0.083100000,"Microsoft | Windows Server 2019 | 10.0.0 || Microsoft | Windows Server 2019 (Server Core installation) | 10.0.0 || Microsoft | Windows Server, version 1909 (Server Core installation) | 10.0.0 || Microsoft | Windows Server version 2004 | 10.0.0 || Microsoft | Windows Server version 20H2 | 10.0.0 || Microsoft | Windows Server 2016 | 10.0.0 || Microsoft | Windows Server 2016 (Server Core installation) | 10.0.0 || Microsoft | Windows Server 2008 Service Pack 2 | 6.0.0 || Microsoft | Windows Server 2008 Service Pack 2 (Server Core installation) | 6.0.0 || Microsoft | Windows Server 2008  Service Pack 2 | 6.0.0 || Microsoft | Windows Server 2008 R2 Service Pack 1 | 6.1.0 || Microsoft | Windows Server 2008 R2 Service Pack 1 (Server Core installation) | 6.0.0 || Microsoft | Windows Server 2012 | 6.2.0 || Microsoft | Windows Server 2012 (Server Core installation) | 6.2.0 || Microsoft | Windows Server 2012 R2 | 6.3.0 || Microsoft | Windows Server 2012 R2 (Server Core installation) | 6.3.0"
CVE-2021-26897,Windows DNS Server Remote Code Execution Vulnerability,9.8,Non disponible,Remote Code Execution,0.107920000,"Microsoft | Windows Server version 20H2 | 10.0.0 || Microsoft | Windows Server 2019 | 10.0.0 || Microsoft | Windows Server 2019 (Server Core installation) | 10.0.0 || Microsoft | Windows Server, version 1909 (Server Core installation) | 10.0.0 || Microsoft | Windows Server version 2004 | 10.0.0 || Microsoft | Windows Server 2016 | 10.0.0 || Microsoft | Windows Server 2016 (Server Core installation) | 10.0.0 || Microsoft | Windows Server 2008 Service Pack 2 | 6.0.0 || Microsoft | Windows Server 2008 Service Pack 2 (Server Core installation) | 6.0.0 || Microsoft | Windows Server 2008  Service Pack 2 | 6.0.0 || Microsoft | Windows Server 2008 R2 Service Pack 1 | 6.1.0 || Microsoft | Windows Server 2008 R2 Service Pack 1 (Server Core installation) | 6.0.0 || Microsoft | Windows Server 2012 | 6.2.0 || Microsoft | Windows Server 2012 (Server Core installation) | 6.2.0 || Microsoft | Windows Server 2012 R2 | 6.3.0 || Microsoft | Windows Server 2012 R2 (Server Core installation) | 6.3.0"
CVE-2021-26894,Windows DNS Server Remote Code Execution Vulnerability,9.8,Non disponible,Remote Code Execution,0.099350000,"Microsoft | Windows Server 2019 | 10.0.0 || Microsoft | Windows Server 2019 (Server Core installation) | 10.0.0 || Microsoft | Windows Server, version 1909 (Server Core installation) | 10.0.0 || Microsoft | Windows Server version 2004 | 10.0.0 || Microsoft | Windows Server version 20H2 | 10.0.0 || Microsoft | Windows Server 2016 | 10.0.0 || Microsoft | Windows Server 2016 (Server Core installation) | 10.0.0 || Microsoft | Windows Server 2008 Service Pack 2 | 6.0.0 || Microsoft | Windows Server 2008 Service Pack 2 (Server Core installation) | 6.0.0 || Microsoft | Windows Server 2008  Service Pack 2 | 6.0.0 || Microsoft | Windows Server 2008 R2 Service Pack 1 | 6.1.0 || Microsoft | Windows Server 2008 R2 Service Pack 1 (Server Core installation) | 6.0.0 || Microsoft | Windows Server 2012 | 6.2.0 || Microsoft | Windows Server 2012 (Server Core installation) | 6.2.0 || Microsoft | Windows Server 2012 R2 | 6.3.0 || Microsoft | Windows Server 2012 R2 (Server Core installation) | 6.3.0"
CVE-2021-26877,Windows DNS Server Remote Code Execution Vulnerability,9.8,Non disponible,Remote Code Execution,0.087670000,"Microsoft | Windows Server version 20H2 | 10.0.0 || Microsoft | Windows Server 2019 | 10.0.0 || Microsoft | Windows Server 2019 (Server Core installation) | 10.0.0 || Microsoft | Windows Server, version 1909 (Server Core installation) | 10.0.0 || Microsoft | Windows Server version 2004 | 10.0.0 || Microsoft | Windows Server 2016 | 10.0.0 || Microsoft | Windows Server 2016 (Server Core installation) | 10.0.0 || Microsoft | Windows Server 2008 Service Pack 2 | 6.0.0 || Microsoft | Windows Server 2008 Service Pack 2 (Server Core installation) | 6.0.0 || Microsoft | Windows Server 2008  Service Pack 2 | 6.0.0 || Microsoft | Windows Server 2008 R2 Service Pack 1 | 6.1.0 || Microsoft | Windows Server 2008 R2 Service Pack 1 (Server Core installation) | 6.0.0 || Microsoft | Windows Server 2012 | 6.2.0 || Microsoft | Windows Server 2012 (Server Core installation) | 6.2.0 || Microsoft | Windows Server 2012 R2 | 6.3.0 || Microsoft | Windows Server 2012 R2 (Server Core installation) | 6.3.0"
CVE-2021-26895,Windows DNS Server Remote Code Execution Vulnerability,9.8,Non disponible,Remote Code Execution,0.099350000,"Microsoft | Windows Server 2019 | 10.0.0 || Microsoft | Windows Server 2019 (Server Core installation) | 10.0.0 || Microsoft | Windows Server, version 1909 (Server Core installation) | 10.0.0 || Microsoft | Windows Server version 2004 | 10.0.0 || Microsoft | Windows Server version 20H2 | 10.0.0 || Microsoft | Windows Server 2016 | 10.0.0 || Microsoft | Windows Server 2016 (Server Core installation) | 10.0.0 || Microsoft | Windows Server 2008 Service Pack 2 | 6.0.0 || Microsoft | Windows Server 2008 Service Pack 2 (Server Core installation) | 6.0.0 || Microsoft | Windows Server 2008  Service Pack 2 | 6.0.0 || Microsoft | Windows Server 2008 R2 Service Pack 1 | 6.1.0 || Microsoft | Windows Server 2008 R2 Service Pack 1 (Server Core installation) | 6.0.0 || Microsoft | Windows Server 2012 | 6.2.0 || Microsoft | Windows Server 2012 (Server Core installation) | 6.2.0 || Microsoft | Windows Server 2012 R2 | 6.3.0 || Microsoft | Windows Server 2012 R2 (Server Core installation) | 6.3.0"
CVE-2021-22986,"On BIG-IP versions 16.0.x before 16.0.1.1, 15.1.x before 15.1.2.1, 14.1.x before 14.1.4, 13.1.x before 13.1.3.6, and 12.1.x before 12.1.5.3 amd BIG-IQ 7.1.0.x before 7.1.0.3 and 7.0.0.x before 7.0.0.2, the iControl REST interface has an unauthenticated remote command execution vulnerability. Note: Software versions which have reached End of Software Development (EoSD) are not evaluated.",,Non disponible,Remote Command Execution,0.944850000,"n/a | BIG-IP; BIG-IQ | BIG-IP 16.0.x before 16.0.1.1, 15.1.x before 15.1.2.1, 14.1.x before 14.1.4, 13.1.x before 13.1.3.6, 12.1.x before 12.1.5.3, BIG-IQ 7.1.0.x before 7.1.0.3, 7.0.0.x before 7.0.0.2"
CVE-2021-22893,Pulse Connect Secure 9.0R3/9.1R1 and higher is vulnerable to an authentication bypass vulnerability exposed by the Windows File Share Browser and Pulse Secure Collaboration features of Pulse Connect Secure that can allow an unauthenticated user to perform remote arbitrary code execution on the Pulse Connect Secure gateway. This vulnerability has been exploited in the wild.,,CWE-287,Improper Authentication - Generic (CWE-287),0.939080000,"n/a | Pulse Connect Secure | PCS 9.0R3 or above, PCS 9.1R1 and above"
CVE-2021-22894,A buffer overflow vulnerability exists in Pulse Connect Secure before 9.1R11.4 allows a remote authenticated attacker to execute arbitrary code as the root user via maliciously crafted meeting room.,,CWE-94,Code Injection (CWE-94),0.496650000,n/a | Pulse Connect Secure | Fixed version 9.1R11.4
CVE-2021-22899,A command injection vulnerability exists in Pulse Connect Secure before 9.1R11.4 allows a remote authenticated attacker to perform remote code execution via Windows Resource Profiles Feature,,CWE-77,Command Injection - Generic (CWE-77),0.449510000,n/a | Pulse Connect Secure | Fixed in 9.1R11.4
CVE-2021-22900,A vulnerability allowed multiple unrestricted uploads in Pulse Connect Secure before 9.1R11.4 that could lead to an authenticated administrator to perform a file write via a maliciously crafted archive upload in the administrator web interface.,,CWE-94,Code Injection (CWE-94),0.016680000,n/a | Pulse Secure Secure | Fixed in 9.1R11.4
CVE-2021-27216,"Exim 4 before 4.94.2 has Execution with Unnecessary Privileges. By leveraging a delete_pid_file race condition, a local user can delete arbitrary files as root. This involves the -oP and -oPX options.",,Non disponible,n/a,0.000770000,n/a | n/a | n/a
CVE-2020-28013,"Exim 4 before 4.94.2 allows Heap-based Buffer Overflow because it mishandles ""-F '.('"" on the command line, and thus may allow privilege escalation from any user to root. This occurs because of the interpretation of negative sizes in strncpy.",,Non disponible,n/a,0.000890000,n/a | n/a | n/a
CVE-2020-28026,"Exim 4 before 4.94.2 has Improper Neutralization of Line Delimiters, relevant in non-default configurations that enable Delivery Status Notification (DSN). Certain uses of ORCPT= can place a newline into a spool header file, and indirectly allow unauthenticated remote attackers to execute arbitrary commands as root.",,Non disponible,n/a,0.012470000,n/a | n/a | n/a
CVE-2020-28009,Exim 4 before 4.94.2 allows Integer Overflow to Buffer Overflow because get_stdinput allows unbounded reads that are accompanied by unbounded increases in a certain size variable. NOTE: exploitation may be impractical because of the execution time needed to overflow (multiple days).,,Non disponible,n/a,0.001220000,n/a | n/a | n/a
CVE-2020-28023,Exim 4 before 4.94.2 allows Out-of-bounds Read. smtp_setup_msg may disclose sensitive information from process memory to an unauthenticated SMTP client.,,Non disponible,n/a,0.010750000,n/a | n/a | n/a
CVE-2020-28011,Exim 4 before 4.94.2 allows Heap-based Buffer Overflow in queue_run via two sender options: -R and -S. This may cause privilege escalation from exim to root.,,Non disponible,n/a,0.000890000,n/a | n/a | n/a
CVE-2020-28022,Exim 4 before 4.94.2 has Improper Restriction of Write Operations within the Bounds of a Memory Buffer. This occurs when processing name=value pairs within MAIL FROM and RCPT TO commands.,,Non disponible,n/a,0.009340000,n/a | n/a | n/a
CVE-2020-28008,"Exim 4 before 4.94.2 allows Execution with Unnecessary Privileges. Because Exim operates as root in the spool directory (owned by a non-root user), an attacker can write to a /var/spool/exim4/input spool header file, in which a crafted recipient address can indirectly lead to command execution.",,Non disponible,n/a,0.000800000,n/a | n/a | n/a
CVE-2020-28021,Exim 4 before 4.94.2 has Improper Neutralization of Line Delimiters. An authenticated remote SMTP client can insert newline characters into a spool file (which indirectly leads to remote code execution as root) via AUTH= in a MAIL FROM command.,,Non disponible,n/a,0.021140000,n/a | n/a | n/a
CVE-2020-28024,"Exim 4 before 4.94.2 allows Buffer Underwrite that may result in unauthenticated remote attackers executing arbitrary commands, because smtp_ungetc was only intended to push back characters, but can actually push back non-character error codes such as EOF.",,Non disponible,n/a,0.012270000,n/a | n/a | n/a
CVE-2020-28018,Exim 4 before 4.94.2 allows Use After Free in smtp_reset in certain situations that may be common for builds with OpenSSL.,,Non disponible,n/a,0.627870000,n/a | n/a | n/a
CVE-2020-28010,"Exim 4 before 4.94.2 allows Out-of-bounds Write because the main function, while setuid root, copies the current working directory pathname into a buffer that is too small (on some common platforms).",,Non disponible,n/a,0.000720000,n/a | n/a | n/a
CVE-2020-28017,Exim 4 before 4.94.2 allows Integer Overflow to Buffer Overflow in receive_add_recipient via an e-mail message with fifty million recipients. NOTE: remote exploitation may be difficult because of resource consumption.,,Non disponible,n/a,0.048000000,n/a | n/a | n/a
CVE-2020-28012,Exim 4 before 4.94.2 allows Exposure of File Descriptor to Unintended Control Sphere because rda_interpret uses a privileged pipe that lacks a close-on-exec flag.,,Non disponible,n/a,0.000950000,n/a | n/a | n/a
CVE-2020-28007,"Exim 4 before 4.94.2 allows Execution with Unnecessary Privileges. Because Exim operates as root in the log directory (owned by a non-root user), a symlink or hard link attack allows overwriting critical root-owned files anywhere on the filesystem.",,Non disponible,n/a,0.001150000,n/a | n/a | n/a
CVE-2020-28020,"Exim 4 before 4.92 allows Integer Overflow to Buffer Overflow, in which an unauthenticated remote attacker can execute arbitrary code by leveraging the mishandling of continuation lines during header-length restriction.",,Non disponible,n/a,0.041150000,n/a | n/a | n/a
CVE-2020-28015,Exim 4 before 4.94.2 has Improper Neutralization of Line Delimiters. Local users can alter the behavior of root processes because a recipient address can have a newline character.,,Non disponible,n/a,0.000720000,n/a | n/a | n/a
CVE-2020-28016,"Exim 4 before 4.94.2 allows an off-by-two Out-of-bounds Write because ""-F ''"" is mishandled by parse_fix_phrase.",,Non disponible,n/a,0.001000000,n/a | n/a | n/a
CVE-2020-28025,"Exim 4 before 4.94.2 allows Out-of-bounds Read because pdkim_finish_bodyhash does not validate the relationship between sig->bodyhash.len and b->bh.len; thus, a crafted DKIM-Signature header might lead to a leak of sensitive information from process memory.",,Non disponible,n/a,0.007310000,n/a | n/a | n/a
CVE-2020-28014,"Exim 4 before 4.94.2 allows Execution with Unnecessary Privileges. The -oP option is available to the exim user, and allows a denial of service because root-owned files can be overwritten.",,Non disponible,n/a,0.001160000,n/a | n/a | n/a
CVE-2020-28019,Exim 4 before 4.94.2 has Improper Initialization that can lead to recursion-based stack consumption or other consequences. This occurs because use of certain getc functions is mishandled when a client uses BDAT instead of DATA.,,Non disponible,n/a,0.008180000,n/a | n/a | n/a
CVE-2021-31166,HTTP Protocol Stack Remote Code Execution Vulnerability,9.8,Non disponible,Remote Code Execution,0.930430000,Microsoft | Windows 10 Version 2004 | 10.0.0 || Microsoft | Windows Server version 2004 | 10.0.0 || Microsoft | Windows 10 Version 20H2 | 10.0.0 || Microsoft | Windows Server version 20H2 | 10.0.0
CVE-2021-28550,"Acrobat Reader DC versions versions 2021.001.20150 (and earlier), 2020.001.30020 (and earlier) and 2017.011.30194 (and earlier) are affected by a Use After Free vulnerability. An unauthenticated attacker could leverage this vulnerability to achieve arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.",9.6,CWE-416,Use After Free (CWE-416),0.229470000,"Adobe | Acrobat Reader | unspecified, unspecified, unspecified, unspecified"
CVE-2021-21985,The vSphere Client (HTML5) contains a remote code execution vulnerability due to lack of input validation in the Virtual SAN Health Check plug-in which is enabled by default in vCenter Server. A malicious actor with network access to port 443 may exploit this issue to execute commands with unrestricted privileges on the underlying operating system that hosts vCenter Server.,,Non disponible,Remote code execution vulnerability,0.943700000,"n/a | VMware vCenter Server and VMware Cloud Foundation | VMware vCenter Server (7.x before 7.0 U2b, 6.7 before 6.7 U3n, 6.5 before 6.5 U3p) and VMware Cloud Foundation (4.x before 4.2.1, 3.x before 3.10.2.1)"
CVE-2021-31201,Microsoft Enhanced Cryptographic Provider Elevation of Privilege Vulnerability,5.2,Non disponible,Elevation of Privilege,0.001720000,"Microsoft | Windows 10 Version 1809 | 10.0.0 || Microsoft | Windows Server 2019 | 10.0.0 || Microsoft | Windows Server 2019 (Server Core installation) | 10.0.0 || Microsoft | Windows 10 Version 1909 | 10.0.0 || Microsoft | Windows 10 Version 21H1 | 10.0.0 || Microsoft | Windows 10 Version 2004 | 10.0.0 || Microsoft | Windows Server version 2004 | 10.0.0 || Microsoft | Windows 10 Version 20H2 | 10.0.0 || Microsoft | Windows Server version 20H2 | 10.0.0 || Microsoft | Windows 10 Version 1507 | 10.0.0 || Microsoft | Windows 10 Version 1607 | 10.0.0 || Microsoft | Windows Server 2016 | 10.0.0 || Microsoft | Windows Server 2016 (Server Core installation) | 10.0.0 || Microsoft | Windows 7 | 6.1.0 || Microsoft | Windows 7 Service Pack 1 | 6.1.0 || Microsoft | Windows 8.1 | 6.3.0, 6.3.0 || Microsoft | Windows Server 2008 Service Pack 2 | 6.0.0 || Microsoft | Windows Server 2008 Service Pack 2 (Server Core installation) | 6.0.0 || Microsoft | Windows Server 2008  Service Pack 2 | 6.0.0 || Microsoft | Windows Server 2008 R2 Service Pack 1 | 6.1.0 || Microsoft | Windows Server 2008 R2 Service Pack 1 (Server Core installation) | 6.0.0 || Microsoft | Windows Server 2012 | 6.2.0 || Microsoft | Windows Server 2012 (Server Core installation) | 6.2.0 || Microsoft | Windows Server 2012 R2 | 6.3.0, 6.3.0 || Microsoft | Windows Server 2012 R2 (Server Core installation) | 6.3.0, 6.3.0"
CVE-2021-31955,Windows Kernel Information Disclosure Vulnerability,5.5,Non disponible,Information Disclosure,0.146390000,Microsoft | Windows 10 Version 1809 | 10.0.0 || Microsoft | Windows Server 2019 | 10.0.0 || Microsoft | Windows Server 2019 (Server Core installation) | 10.0.0 || Microsoft | Windows 10 Version 1909 | 10.0.0 || Microsoft | Windows 10 Version 21H1 | 10.0.0 || Microsoft | Windows 10 Version 2004 | 10.0.0 || Microsoft | Windows Server version 2004 | 10.0.0 || Microsoft | Windows 10 Version 20H2 | 10.0.0 || Microsoft | Windows Server version 20H2 | 10.0.0
